x(um)
y(nm)

X	Y
0.0000	-66.686940102	
0.1172	-65.031976267	
0.2344	-63.479996115	
0.3516	-61.383919343	
0.4688	-57.191251032	
0.5859	-52.944229380	
0.7031	-46.494737699	
0.8203	-38.842835060	
0.9375	-29.711594980	
1.0547	-17.426519728	
1.1719	-2.973769670	
1.2891	14.064697488	
1.4062	33.006712499	
1.5234	53.163937997	
1.6406	72.833112891	
1.7578	121.767228511	
1.8750	152.971024051	
1.9922	202.164848713	
2.1094	234.570243696	
2.2266	245.611111937	
2.3438	257.258242485	
2.4609	250.748850091	
2.5781	243.224579392	
2.6953	289.416597750	
2.8125	253.815262683	
2.9297	212.685644813	
3.0469	204.463592287	
3.1641	160.587395654	
3.2812	104.733261022	
3.3984	77.707435681	
3.5156	60.866899468	
3.6328	44.287553009	
3.7500	26.670160700	
3.8672	9.913641277	
3.9844	-4.844808472	
4.1016	-19.072950543	
4.2187	-30.131977947	
4.3359	-39.337483767	
4.4531	-46.615223460	
4.5703	-52.793099841	
4.6875	-57.976101156	
4.8047	-61.867515700	
4.9219	-64.456279008	
5.0391	-67.204068987	
5.1562	-68.612974189	
5.2734	-69.731938386	
5.3906	-70.815819696	
5.5078	-70.402752476	
5.6250	-70.955563800	
5.7422	-70.965429158	
5.8594	-70.933979922	
5.9766	-70.665501672	
6.0937	-70.932314499	
6.2109	-71.282343956	
6.3281	-71.087017127	
6.4453	-71.060352195	
6.5625	-70.811156512	
6.6797	-70.940326696	
6.7969	-71.312666761	
6.9141	-71.738912016	
7.0312	-71.441564421	
7.1484	-72.095621331	
7.2656	-72.616220352	
7.3828	-72.358957967	
7.5000	-71.725219213	
7.6172	-71.760907707	
7.7344	-70.890878782	
7.8516	-70.308338150	
7.9687	-68.752857583	
8.0859	-67.460229165	
8.2031	-64.905791732	
8.3203	-61.081363517	
8.4375	-56.474846752	
8.5547	-49.853453169	
8.6719	-41.903046223	
8.7891	-31.487713773	
8.9062	-18.439223901	
9.0234	-2.211448172	
9.1406	15.538572344	
9.2578	34.328818899	
9.3750	54.079072625	
9.4922	73.993748991	
9.6094	106.371491901	
9.7266	157.970077917	
9.8438	199.941079442	
9.9609	229.340113947	
10.0781	233.023350654	
10.1953	266.867452821	
10.3125	223.733392763	
10.4297	254.666408743	
10.5469	285.268253907	
10.6641	251.387209636	
10.7812	205.293227141	
10.8984	184.521978466	
11.0156	151.640042463	
11.1328	88.516016821	
11.2500	66.845591295	
11.3672	51.190708859	
11.4844	34.589066932	
11.6016	17.150877133	
11.7187	-0.021683803	
11.8359	-14.744825834	
11.9531	-27.776555497	
12.0703	-38.624319491	
12.1875	-47.762693637	
12.3047	-55.315700448	
12.4219	-60.292401313	
12.5391	-64.860480123	
12.6562	-68.601134548	
12.7734	-71.142581684	
12.8906	-72.028410928	
13.0078	-73.292672656	
13.1250	-74.355612033	
13.2422	-74.884398877	
13.3594	-75.421367488	
13.4766	-75.803839379	
13.5937	-75.028993903	
13.7109	-75.184283970	
13.8281	-74.225563717	
13.9453	-74.253712388	
14.0625	-74.388224037	
14.1797	-73.850231948	
14.2969	-73.513023218	
14.4141	-74.395673018	
14.5312	-74.818278568	
14.6484	-75.123801874	
14.7656	-75.445313238	
14.8828	-75.665918156	
15.0000	-75.975977468	
15.1172	-76.342140328	
15.2344	-76.435131475	
15.3516	-76.247653329	
15.4688	-76.812825117	
15.5859	-76.013967274	
15.7031	-74.991543088	
15.8203	-73.068815622	
15.9375	-71.284651323	
16.0547	-67.531061106	
16.1719	-63.800635404	
16.2891	-58.657174251	
16.4062	-51.091988658	
16.5234	-41.968433746	
16.6406	-30.738170609	
16.7578	-16.876957493	
16.8750	-0.747567367	
16.9922	17.954275524	
17.1094	38.263522320	
17.2266	58.199909742	
17.3438	78.948617678	
17.4609	117.239337864	
17.5781	171.487932351	
17.6953	200.492788558	
17.8125	222.352509054	
17.9297	242.347198383	
18.0469	251.639724052	
18.1641	218.928545352	
18.2812	274.774855525	
18.3984	279.552523238	
18.5156	223.569200254	
18.6328	191.701100911	
18.7500	162.067453770	
18.8672	111.038720894	
18.9844	77.270095683	
19.1016	57.599279591	
19.2188	42.003274389	
19.3359	25.707404068	
19.4531	8.099375977	
19.5703	-8.676669014	
19.6875	-22.707687113	
19.8047	-35.369847369	
19.9219	-45.762042557	
20.0391	-53.032787475	
20.1562	-58.989289816	
20.2734	-64.920925882	
20.3906	-68.649250123	
20.5078	-71.776496064	
20.6250	-74.366603822	
20.7422	-75.796039145	
20.8594	-76.355057952	
20.9766	-77.361251836	
21.0938	-77.563391758	
21.2109	-78.072399437	
21.3281	-78.447688814	
21.4453	-77.433070919	
21.5625	-77.600709339	
21.6797	-77.641927036	
21.7969	-77.568793784	
21.9141	-77.432307852	
22.0312	-76.842172893	
22.1484	-77.074387320	
22.2656	-76.800058895	
22.3828	-76.080347994	
22.5000	-76.992327402	
22.6172	-77.970112203	
22.7344	-77.981152442	
22.8516	-78.683912368	
22.9688	-79.405870076	
23.0859	-79.321660248	
23.2031	-79.295976402	
23.3203	-79.195657396	
23.4375	-79.281090552	
23.5547	-78.206214636	
23.6719	-76.378216412	
23.7891	-74.403685216	
23.9062	-69.923922257	
24.0234	-66.138810130	
24.1406	-60.372014573	
24.2578	-52.620004891	
