x(um)
y(nm)

X	Y
0.0000	127.434680090	
0.1172	91.042893022	
0.2344	60.900734801	
0.3516	25.622219211	
0.4688	-15.710035180	
0.5859	-48.351944409	
0.7031	-66.627336138	
0.8203	-77.544163696	
0.9375	-89.351271720	
1.0547	-95.879595427	
1.1719	-107.579922604	
1.2891	-112.703586423	
1.4062	-121.554526781	
1.5234	-123.198753181	
1.6406	-127.576864795	
1.7578	-126.518528041	
1.8750	-125.228376560	
1.9922	-123.017639978	
2.1094	-119.708632833	
2.2266	-119.666385602	
2.3438	-120.091861734	
2.4609	-115.918881747	
2.5781	-119.281630568	
2.6953	-121.763267833	
2.8125	-124.086368970	
2.9297	-119.928856217	
3.0469	-120.195493418	
3.1641	-119.054261006	
3.2812	-126.274903953	
3.3984	-128.197080316	
3.5156	-131.885234563	
3.6328	-128.603915827	
3.7500	-127.646630865	
3.8672	-120.285377794	
3.9844	-123.730537786	
4.1016	-123.606933142	
4.2187	-123.425444462	
4.3359	-122.701900060	
4.4531	-124.345072702	
4.5703	-120.568984138	
4.6875	-118.632684991	
4.8047	-116.396755105	
4.9219	-120.155281030	
5.0391	-119.426467837	
5.1562	-118.427189999	
5.2734	-115.548842994	
5.3906	-105.675926601	
5.5078	-98.070237928	
5.6250	-86.634319313	
5.7422	-72.943369929	
5.8594	-59.491114980	
5.9766	-42.517017924	
6.0937	-27.043606000	
6.2109	0.390229732	
6.3281	39.315948338	
6.4453	77.606135589	
6.5625	113.648068826	
6.6797	153.365081228	
6.7969	190.167603923	
6.9141	227.503958180	
7.0312	265.604275132	
7.1484	297.915413247	
7.2656	318.922946038	
7.3828	320.230720718	
7.5000	322.014115894	
7.6172	315.791418447	
7.7344	321.712571434	
7.8516	319.874138580	
7.9687	318.407549192	
8.0859	329.547107353	
8.2031	296.474065610	
8.3203	266.683372137	
8.4375	233.524334023	
8.5547	196.182178040	
8.6719	158.883407831	
8.7891	118.014758668	
8.9062	84.141569137	
9.0234	56.134167887	
9.1406	22.227663845	
9.2578	-19.959146180	
9.3750	-41.466009029	
9.4922	-57.170048687	
9.6094	-65.514833781	
9.7266	-78.866194395	
9.8438	-88.334709823	
9.9609	-102.156482701	
10.0781	-108.674184040	
10.1953	-114.803157555	
10.3125	-115.133504743	
10.4297	-118.512290071	
10.5469	-117.128390433	
10.6641	-118.598988948	
10.7812	-114.863900062	
10.8984	-116.503390606	
11.0156	-116.133036937	
11.1328	-118.035870172	
11.2500	-116.504444364	
11.3672	-117.502498874	
11.4844	-114.518606462	
11.6016	-115.984529681	
11.7187	-117.573851638	
11.8359	-117.325830835	
11.9531	-114.486073187	
12.0703	-116.534664216	
12.1875	-117.977828677	
12.3047	-117.693459267	
12.4219	-119.300186405	
12.5391	-119.674524976	
12.6562	-118.704437456	
12.7734	-118.907510015	
12.8906	-111.940398906	
13.0078	-112.541380309	
13.1250	-112.636727272	
13.2422	-110.530312767	
13.3594	-110.010882571	
13.4766	-111.274181381	
13.5937	-114.036723977	
13.7109	-112.330992003	
13.8281	-115.154313443	
13.9453	-116.247751251	
14.0625	-110.269380396	
14.1797	-101.521308656	
14.2969	-90.009083402	
14.4141	-79.095526128	
14.5312	-64.757944590	
14.6484	-49.108966834	
14.7656	-35.698583640	
14.8828	-16.085173154	
15.0000	6.095586332	
15.1172	44.527083184	
15.2344	84.460888199	
15.3516	122.886816483	
15.4688	163.454369336	
15.5859	201.424480515	
15.7031	238.971610667	
15.8203	275.577480251	
15.9375	307.391292871	
16.0547	324.542748360	
16.1719	327.775485201	
16.2891	323.556769679	
16.4062	323.690778673	
16.5234	327.900288949	
16.6406	327.194924908	
16.7578	324.767550142	
16.8750	331.536070194	
16.9922	303.435169086	
17.1094	275.920206072	
17.2266	244.859188733	
17.3438	212.415931122	
17.4609	174.061355602	
17.5781	131.717347843	
17.6953	90.751692351	
17.8125	57.690011819	
17.9297	25.225285396	
18.0469	-9.207443767	
18.1641	-28.079268781	
18.2812	-45.973684472	
18.3984	-59.264423700	
18.5156	-70.929698271	
18.6328	-80.528758613	
18.7500	-91.805208463	
18.8672	-97.345433861	
18.9844	-101.786625630	
19.1016	-103.314114984	
19.2188	-109.667575366	
19.3359	-109.256827626	
19.4531	-113.451730631	
19.5703	-111.912492477	
19.6875	-114.536229662	
19.8047	-112.923567564	
19.9219	-115.203258702	
20.0391	-115.419957446	
20.1562	-116.008935694	
20.2734	-114.219375426	
20.3906	-114.268284348	
20.5078	-111.779597803	
20.6250	-113.577273222	
20.7422	-112.762572667	
20.8594	-111.366924229	
20.9766	-105.637204009	
21.0938	-103.660207987	
21.2109	-100.985987299	
21.3281	-103.557303033	
21.4453	-105.469765440	
21.5625	-109.962240116	
21.6797	-110.629257043	
21.7969	-112.303025014	
21.9141	-112.806878966	
22.0312	-113.510607866	
22.1484	-113.897434080	
22.2656	-112.851669752	
22.3828	-117.762401710	
22.5000	-116.581405061	
22.6172	-115.181347795	
22.7344	-109.751609566	
22.8516	-102.216268348	
22.9688	-95.801871664	
23.0859	-85.680595328	
23.2031	-71.978078826	
23.3203	-59.310837516	
23.4375	-42.093104261	
23.5547	-26.872848698	
23.6719	-7.627278607	
23.7891	27.926788736	
23.9062	64.027581040	
24.0234	102.419885954	
24.1406	138.394154582	
24.2578	175.093106154	
24.3750	209.442321939	
24.4922	240.285877468	
24.6094	276.315740933	
24.7266	313.543885107	
24.8438	330.589044236	
24.9609	332.056408803	
25.0781	329.623898479	
25.1953	326.717560260	
25.3125	331.506952549	
25.4297	324.943951713	
25.5469	336.512571208	
25.6641	333.162007225	
25.7812	298.565691162	
25.8984	265.762363110	
26.0156	233.891235726	
26.1328	198.621459064	
26.2500	164.023326176	
26.3672	119.204076375	
26.4844	80.944472341	
26.6016	49.807115053	
26.7188	13.312177760	
26.8359	-22.326414327	
26.9531	-37.577604359	
27.0703	-53.961790531	
27.1875	-64.955445552	
27.3047	-77.850395564	
27.4219	-86.212682737	
27.5391	-96.865610444	
27.6562	-104.763601996	
27.7734	-112.188250138	
27.8906	-114.055691628	
28.0078	-117.210547248	
28.1250	-114.685160843	
28.2422	-115.844997540	
28.3594	-110.614673996	
28.4766	-108.639688594	
28.5938	-106.284187416	
28.7109	-106.107991751	
28.8281	-110.690447701	
28.9453	-113.694082941	
29.0625	-116.115074596	
29.1797	-114.313014573	
29.2969	-116.649124176	
29.4141	-112.460349925	
29.5312	-114.638044521	
29.6484	-113.429529033	
29.7656	-115.493841652	
29.8828	-114.892218304	
