x(um)
y(nm)

X	Y
0.0000	-623.989914442	
0.1172	-625.380148742	
0.2344	-625.519002602	
0.3516	-631.085172258	
0.4688	-631.976191564	
0.5859	-631.535647899	
0.7031	-632.079144967	
0.8203	-632.648319825	
0.9375	-634.487430961	
1.0547	-635.992730828	
1.1719	-638.643938403	
1.2891	-636.879099064	
1.4062	-635.940793865	
1.5234	-636.167242902	
1.6406	-638.824555008	
1.7578	-639.128957939	
1.8750	-635.415997979	
1.9922	-629.765818347	
2.1094	-627.555784270	
2.2266	-627.482045410	
2.3438	-629.609135381	
2.4609	-624.329878690	
2.5781	-619.128672791	
2.6953	-617.356323909	
2.8125	-616.801441405	
2.9297	-598.273801728	
3.0469	-527.459883642	
3.1641	-453.344044028	
3.2812	-378.410221462	
3.3984	-314.918930752	
3.5156	-251.283287260	
3.6328	-196.941986263	
3.7500	-147.712382266	
3.8672	-117.152953904	
3.9844	-100.328429973	
4.1016	-47.878201298	
4.2187	2.517683068	
4.3359	29.519623220	
4.4531	32.381509793	
4.5703	29.909126223	
4.6875	37.001089529	
4.8047	36.129909948	
4.9219	35.799393189	
5.0391	38.593839228	
5.1562	36.487485284	
5.2734	38.292682357	
5.3906	43.079749110	
5.5078	47.795644782	
5.6250	49.501037615	
5.7422	49.486212325	
5.8594	49.684900280	
5.9766	50.426116330	
6.0937	47.309898516	
6.2109	49.079582722	
6.3281	42.266659473	
6.4453	41.276029721	
6.5625	41.939897485	
6.6797	41.754750931	
6.7969	34.351698779	
6.9141	25.172736768	
7.0312	14.497292546	
7.1484	-7.525191224	
7.2656	-42.486979755	
7.3828	-86.157439152	
7.5000	-134.292297227	
7.6172	-181.364591403	
7.7344	-227.744917591	
7.8516	-269.024484064	
7.9687	-316.204079909	
8.0859	-370.852351616	
8.2031	-433.638278284	
8.3203	-502.171233455	
8.4375	-579.586669061	
8.5547	-626.336137702	
8.6719	-630.344973629	
8.7891	-635.204131989	
8.9062	-633.680130938	
9.0234	-636.694170528	
9.1406	-640.816473217	
9.2578	-636.311619909	
9.3750	-639.378080949	
9.4922	-636.263461941	
9.6094	-635.478884340	
9.7266	-637.516198943	
9.8438	-640.725486634	
9.9609	-639.205167681	
10.0781	-635.282279677	
10.1953	-634.242813676	
10.3125	-634.846726224	
10.4297	-637.079724965	
10.5469	-635.805234514	
10.6641	-633.822812242	
10.7812	-630.789150945	
10.8984	-628.618263385	
11.0156	-630.656256270	
11.1328	-630.880428220	
11.2500	-629.379488732	
11.3672	-632.001433316	
11.4844	-636.425232016	
11.6016	-637.993757385	
11.7187	-632.979224173	
11.8359	-567.897751544	
11.9531	-486.365197255	
12.0703	-409.850906726	
12.1875	-338.932460656	
12.3047	-275.475520046	
12.4219	-227.379978059	
12.5391	-185.260045353	
12.6562	-139.270784636	
12.7734	-111.052976912	
12.8906	-73.959083975	
13.0078	-21.449554141	
13.1250	19.918939848	
13.2422	30.011231774	
13.3594	30.437943347	
13.4766	40.044585904	
13.5937	42.760520889	
13.7109	36.117555540	
13.8281	38.755488182	
13.9453	41.840723078	
14.0625	42.080083683	
14.1797	45.850188838	
14.2969	48.465689750	
14.4141	44.459663846	
14.5312	43.825252867	
14.6484	41.337559519	
14.7656	43.836565629	
14.8828	45.275902646	
15.0000	38.165262381	
15.1172	42.735594054	
15.2344	41.320093777	
15.3516	44.629427950	
15.4688	38.840685151	
15.5859	35.190684225	
15.7031	32.656698182	
15.8203	18.244723727	
15.9375	0.432743432	
16.0547	-26.548872508	
16.1719	-69.363510550	
16.2891	-116.394490130	
16.4062	-164.150891498	
16.5234	-208.124736405	
16.6406	-241.304026059	
16.7578	-287.475332615	
16.8750	-341.390236955	
16.9922	-402.465392988	
17.1094	-468.650671439	
17.2266	-545.039286145	
17.3438	-618.749562026	
17.4609	-630.891280720	
17.5781	-632.586014848	
17.6953	-633.636430247	
17.8125	-635.386831886	
17.9297	-639.798373075	
18.0469	-642.918369885	
18.1641	-644.538299282	
18.2812	-647.356170247	
18.3984	-646.917516079	
18.5156	-644.654382271	
18.6328	-647.851848488	
18.7500	-646.420529725	
18.8672	-649.090729174	
18.9844	-651.095340932	
19.1016	-649.223962990	
19.2188	-649.774339768	
19.3359	-648.314484743	
19.4531	-641.095246807	
19.5703	-636.114046273	
19.6875	-631.595336648	
19.8047	-632.987751138	
19.9219	-633.103543435	
20.0391	-635.056121332	
20.1562	-633.857210791	
20.2734	-631.346455881	
20.3906	-631.230808930	
20.5078	-627.205306664	
20.6250	-610.511351872	
20.7422	-532.466568171	
20.8594	-453.142013115	
20.9766	-376.331870843	
21.0938	-308.101065740	
21.2109	-250.514891512	
21.3281	-198.570902887	
21.4453	-148.257623486	
21.5625	-112.555369860	
21.6797	-103.901373305	
21.7969	-51.239860024	
21.9141	-2.420228588	
22.0312	24.330989748	
22.1484	28.532845137	
22.2656	37.474505610	
22.3828	41.214960185	
22.5000	43.498393982	
22.6172	42.468327020	
22.7344	43.976291564	
22.8516	39.522793836	
22.9688	39.999964688	
23.0859	42.538674475	
23.2031	41.554270376	
23.3203	32.728765564	
23.4375	39.530303378	
23.5547	38.102521366	
23.6719	39.889114154	
23.7891	37.237955028	
23.9062	41.523287458	
24.0234	38.408159738	
24.1406	34.268294410	
24.2578	35.376460612	
24.3750	30.980859031	
24.4922	31.548313962	
24.6094	20.492111721	
24.7266	6.986127208	
24.8438	-16.394009138	
24.9609	-54.649434475	
25.0781	-105.307353420	
25.1953	-157.266809279	
25.3125	-201.395992703	
25.4297	-239.532185888	
25.5469	-283.263472578	
25.6641	-334.172985414	
25.7812	-392.658972381	
25.8984	-455.506065482	
26.0156	-529.730526992	
26.1328	-610.614111480	
26.2500	-634.042769159	
26.3672	-630.807561435	
26.4844	-631.093360081	
26.6016	-636.343692922	
26.7188	-639.760776915	
26.8359	-638.985404559	
26.9531	-640.323992588	
27.0703	-640.650488108	
27.1875	-641.141079239	
27.3047	-644.927729611	
27.4219	-642.915172273	
27.5391	-643.213228430	
27.6562	-646.041951895	
27.7734	-643.925181489	
27.8906	-647.756307731	
28.0078	-650.524712614	
28.1250	-653.915634331	
28.2422	-648.995188417	
28.3594	-649.498376200	
28.4766	-647.821664973	
28.5938	-645.212123246	
28.7109	-645.174187945	
28.8281	-639.798179280	
28.9453	-633.842094809	
29.0625	-635.094105082	
29.1797	-634.548912310	
29.2969	-630.303792268	
29.4141	-603.102776572	
29.5312	-526.048719521	
29.6484	-449.074408964	
29.7656	-380.225883446	
29.8828	-311.430215415	
