X Unit:	MicroMeter
Y Unit:	NanoMeter

X	Y
0.0000	213.537856743	
0.1172	216.486829783	
0.2344	214.904544994	
0.3516	213.237717294	
0.4688	229.962097845	
0.5859	218.076139627	
0.7031	202.812788981	
0.8203	204.051899798	
0.9375	186.876353213	
1.0547	140.254789034	
1.1719	89.054929435	
1.2891	41.418299211	
1.4062	-12.912361249	
1.5234	-46.717649984	
1.6406	-97.346669302	
1.7578	-149.969326757	
1.8750	-200.393626263	
1.9922	-261.298739611	
2.1094	-315.086974930	
2.2266	-374.750676149	
2.3438	-450.103700746	
2.4609	-476.809377342	
2.5781	-476.506330974	
2.6953	-478.177519054	
2.8125	-471.841112601	
2.9297	-469.713780387	
3.0469	-464.356763597	
3.1641	-477.202150629	
3.2812	-488.640200985	
3.3984	-488.871543337	
3.5156	-485.957889370	
3.6328	-470.434454205	
3.7500	-466.656282349	
3.8672	-464.290873419	
3.9844	-462.053901887	
4.1016	-458.828044756	
4.2187	-467.274874840	
4.3359	-463.351260106	
4.4531	-463.031741193	
4.5703	-466.652503353	
4.6875	-462.624142616	
4.8047	-466.711077783	
4.9219	-463.777462969	
5.0391	-465.840697605	
5.1562	-463.662445850	
5.2734	-460.344439366	
5.3906	-463.318460363	
5.5078	-458.697330271	
5.6250	-467.989734819	
5.7422	-467.772878617	
5.8594	-475.384696045	
5.9766	-477.569682165	
6.0937	-482.084176756	
6.2109	-432.619451412	
6.3281	-353.899341839	
6.4453	-282.766922262	
6.5625	-215.781950228	
6.6797	-153.717920707	
6.7969	-95.118854567	
6.9141	-39.563405925	
7.0312	10.683238400	
7.1484	51.613811007	
7.2656	69.104292051	
7.3828	90.765366985	
7.5000	132.676655537	
7.6172	184.736109431	
7.7344	200.714077813	
7.8516	209.474176933	
7.9687	211.539010375	
8.0859	207.158863918	
8.2031	209.308724759	
8.3203	223.262907825	
8.4375	217.650954186	
8.5547	200.179083484	
8.6719	197.928122402	
8.7891	181.422439103	
8.9062	141.354125467	
9.0234	84.477857342	
9.1406	38.958621302	
9.2578	-15.922210030	
9.3750	-51.510070314	
9.4922	-95.931701961	
9.6094	-145.989463129	
9.7266	-202.660272599	
9.8438	-252.548814709	
9.9609	-310.366961122	
10.0781	-369.597482872	
10.1953	-438.482756699	
10.3125	-491.906173608	
10.4297	-482.301032959	
10.5469	-480.448259301	
10.6641	-478.286819231	
10.7812	-474.352400446	
10.8984	-475.439879069	
11.0156	-472.056369997	
11.1328	-473.354018908	
11.2500	-478.353678381	
11.3672	-472.779999184	
11.4844	-475.586484714	
11.6016	-473.992814491	
11.7187	-474.645030352	
11.8359	-478.148788998	
11.9531	-469.736405911	
12.0703	-472.753836907	
12.1875	-470.636630463	
12.3047	-472.873505098	
12.4219	-476.744601484	
12.5391	-470.746075986	
12.6562	-470.229419476	
12.7734	-465.373168036	
12.8906	-470.032281878	
13.0078	-475.561242962	
13.1250	-475.126658482	
13.2422	-475.328253356	
13.3594	-469.546196472	
13.4766	-476.749930837	
13.5937	-486.677303523	
13.7109	-491.988148740	
13.8281	-501.067136941	
13.9453	-502.511052356	
14.0625	-440.885035059	
14.1797	-357.357316501	
14.2969	-281.995619594	
14.4141	-215.820418464	
14.5312	-153.896938506	
14.6484	-95.563564818	
14.7656	-41.840523227	
14.8828	7.062361175	
15.0000	48.414521909	
15.1172	64.700666161	
15.2344	88.836843848	
15.3516	135.268125914	
15.4688	182.694289102	
15.5859	195.286023175	
15.7031	203.884315883	
15.8203	206.025892003	
15.9375	205.845856782	
16.0547	201.880430855	
16.1719	219.564240220	
16.2891	205.649300568	
16.4062	194.849912561	
16.5234	192.482274994	
16.6406	171.090520104	
16.7578	124.862589177	
16.8750	72.474726040	
16.9922	28.662330237	
17.1094	-24.510261903	
17.2266	-58.033706613	
17.3438	-111.306678320	
17.4609	-153.580859447	
17.5781	-214.195886444	
17.6953	-264.114042798	
17.8125	-321.987614477	
17.9297	-384.520203102	
18.0469	-459.232300375	
18.1641	-509.935615714	
18.2812	-510.622617713	
18.3984	-502.120798400	
18.5156	-492.381115822	
18.6328	-492.453498120	
18.7500	-485.341525517	
18.8672	-477.543471440	
18.9844	-481.286663363	
19.1016	-476.534624991	
19.2188	-480.679940794	
19.3359	-481.027414583	
19.4531	-485.298357761	
19.5703	-488.065115390	
19.6875	-480.444916344	
19.8047	-486.888103643	
19.9219	-482.943655986	
20.0391	-487.104620705	
20.1562	-494.471966195	
20.2734	-492.053602880	
20.3906	-492.766767156	
20.5078	-483.249754620	
20.6250	-483.196218850	
20.7422	-477.400499444	
20.8594	-478.078102403	
20.9766	-475.192645557	
21.0938	-481.574254609	
21.2109	-485.787010946	
