X Unit:	MicroMeter
Y Unit:	MicroMeter

X	Y
0.0000	-1.047415651	
0.1172	-1.108262905	
0.2344	-1.157377928	
0.3516	-1.160890165	
0.4688	-1.166923089	
0.5859	-1.171833167	
0.7031	-1.172885278	
0.8203	-1.173476933	
0.9375	-1.171647705	
1.0547	-1.169062969	
1.1719	-1.170008590	
1.2891	-1.169343681	
1.4062	-1.167917546	
1.5234	-1.168145061	
1.6406	-1.165239692	
1.7578	-1.163614142	
1.8750	-1.166174945	
1.9922	-1.166227463	
2.1094	-1.165713326	
2.2266	-1.165707124	
2.3438	-1.163693792	
2.4609	-1.162654956	
2.5781	-1.162467072	
2.6953	-1.158361339	
2.8125	-1.154732437	
2.9297	-1.149477598	
3.0469	-1.144613353	
3.1641	-1.111587839	
3.2812	-1.033238798	
3.3984	-0.963432612	
3.5156	-0.896743419	
3.6328	-0.845117690	
3.7500	-0.799277845	
3.8672	-0.752773139	
3.9844	-0.706386841	
4.1016	-0.656534769	
4.2187	-0.609832635	
4.3359	-0.592577111	
4.4531	-0.546174680	
4.5703	-0.498759915	
4.6875	-0.457393286	
4.8047	-0.440330492	
4.9219	-0.435766047	
5.0391	-0.415769347	
5.1562	-0.417413791	
5.2734	-0.417662720	
5.3906	-0.419821399	
5.5078	-0.417396059	
5.6250	-0.417177991	
5.7422	-0.420274200	
5.8594	-0.425853305	
5.9766	-0.426158871	
6.0937	-0.441818495	
6.2109	-0.448627761	
6.3281	-0.463706583	
6.4453	-0.470333245	
6.5625	-0.472712316	
6.6797	-0.483279163	
6.7969	-0.506803652	
6.9141	-0.537866656	
7.0312	-0.589886224	
7.1484	-0.648265116	
7.2656	-0.697092983	
7.3828	-0.783506110	
7.5000	-0.885091129	
7.6172	-0.942827591	
7.7344	-0.998337352	
7.8516	-1.057883469	
7.9687	-1.124765681	
8.0859	-1.165116632	
8.2031	-1.169517321	
8.3203	-1.172626562	
8.4375	-1.172959889	
8.5547	-1.171495189	
8.6719	-1.172669100	
8.7891	-1.173259689	
8.9062	-1.173920141	
9.0234	-1.175400732	
9.1406	-1.176022426	
9.2578	-1.174986399	
9.3750	-1.171318642	
9.4922	-1.170405482	
9.6094	-1.170306065	
9.7266	-1.168754933	
9.8438	-1.166398971	
9.9609	-1.166288315	
10.0781	-1.166638889	
10.1953	-1.164875842	
10.3125	-1.162315718	
10.4297	-1.163801832	
10.5469	-1.162259712	
10.6641	-1.159712475	
10.7812	-1.159534378	
10.8984	-1.156167971	
11.0156	-1.108829270	
11.1328	-1.031448814	
11.2500	-0.958768557	
11.3672	-0.894062658	
11.4844	-0.841089281	
11.6016	-0.793913948	
11.7187	-0.746633967	
11.8359	-0.699036501	
11.9531	-0.653598441	
12.0703	-0.624452260	
12.1875	-0.587423434	
12.3047	-0.541966527	
12.4219	-0.496318587	
12.5391	-0.469879184	
12.6562	-0.449836797	
12.7734	-0.448694862	
12.8906	-0.450444489	
13.0078	-0.445882127	
13.1250	-0.439580119	
13.2422	-0.440170030	
13.3594	-0.436968445	
