X Unit:	MicroMeter
Y Unit:	NanoMeter

X	Y
0.0000	222.165254983	
0.1172	202.689717272	
0.2344	144.842005065	
0.3516	74.968293788	
0.4688	7.962288979	
0.5859	-64.711445988	
0.7031	-146.534740686	
0.8203	-236.762908928	
0.9375	-261.203295751	
1.0547	-257.907987465	
1.1719	-252.784759684	
1.2891	-249.809430573	
1.4062	-251.033219502	
1.5234	-250.602002203	
1.6406	-255.176282441	
1.7578	-252.795418389	
1.8750	-256.599050016	
1.9922	-257.342664275	
2.1094	-262.416619769	
2.2266	-259.786075547	
2.3438	-262.102963144	
2.4609	-260.840657530	
2.5781	-261.745799622	
2.6953	-260.602483918	
2.8125	-257.734420140	
2.9297	-258.393031225	
3.0469	-257.543871560	
3.1641	-257.965762492	
3.2812	-252.249038625	
3.3984	-252.978772343	
3.5156	-251.809585054	
3.6328	-251.841028235	
3.7500	-252.403904767	
3.8672	-250.336188629	
3.9844	-252.632776237	
4.1016	-251.461142291	
4.2187	-250.439069359	
4.3359	-249.758414134	
4.4531	-254.380174059	
4.5703	-253.581497898	
4.6875	-253.827520194	
4.8047	-253.823111366	
4.9219	-222.951576736	
5.0391	-149.994919762	
5.1562	-77.053439331	
5.2734	2.383970822	
5.3906	81.118427255	
5.5078	151.380878468	
5.6250	211.444923078	
5.7422	251.703627835	
5.8594	298.127279237	
5.9766	342.614340800	
6.0937	367.674943144	
6.2109	407.174457399	
6.3281	421.929206124	
6.4453	424.427558176	
6.5625	430.700884474	
6.6797	429.214673378	
6.7969	433.645836275	
6.9141	437.952146974	
7.0312	441.151551138	
7.1484	441.953231116	
7.2656	439.967029848	
7.3828	441.693933887	
7.5000	438.054179852	
7.6172	439.520430100	
7.7344	439.876188611	
7.8516	431.964183285	
7.9687	435.590274797	
8.0859	433.664101420	
8.2031	435.235969746	
8.3203	413.750006437	
8.4375	381.686295630	
8.5547	334.798166924	
8.6719	264.613936072	
8.7891	221.590290510	
8.9062	193.952376910	
9.0234	134.939413867	
9.1406	63.479354171	
9.2578	-6.280278680	
9.3750	-81.463490724	
9.4922	-165.559487840	
9.6094	-248.563573280	
9.7266	-263.193033770	
9.8438	-262.716807666	
9.9609	-259.720185369	
10.0781	-259.896611165	
10.1953	-258.491769594	
10.3125	-257.656369349	
10.4297	-256.118318187	
10.5469	-253.658967306	
10.6641	-255.747637489	
10.7812	-256.377833435	
10.8984	-254.240448124	
11.0156	-255.321483075	
11.1328	-259.473823933	
11.2500	-259.857488872	
11.3672	-264.518976698	
11.4844	-262.400995076	
11.6016	-264.874517190	
11.7187	-263.739437758	
11.8359	-265.378092563	
11.9531	-262.423814395	
12.0703	-260.696183626	
12.1875	-257.958446744	
12.3047	-259.865797817	
12.4219	-258.303449652	
12.5391	-260.262834586	
12.6562	-255.616923004	
12.7734	-256.436407865	
12.8906	-254.180081093	
13.0078	-258.377285410	
13.1250	-258.737549646	
13.2422	-259.827935189	
13.3594	-257.011105870	
13.4766	-258.638520585	
13.5937	-254.246286187	
13.7109	-216.078843616	
13.8281	-141.267959525	
13.9453	-71.234234436	
14.0625	7.423249188	
14.1797	80.201645373	
14.2969	152.008591420	
14.4141	215.985240805	
14.5312	256.289414630	
14.6484	300.269824330	
14.7656	345.414673351	
14.8828	372.462978871	
15.0000	412.621055761	
15.1172	420.008749688	
15.2344	426.706922286	
15.3516	425.226815721	
15.4688	434.160070352	
15.5859	434.085410967	
15.7031	431.169915952	
15.8203	434.972651279	
15.9375	432.599587461	
16.0547	434.356335874	
16.1719	435.271773306	
16.2891	435.582135422	
16.4062	435.803981836	
16.5234	436.488755198	
16.6406	428.504852060	
16.7578	426.202474837	
16.8750	432.447797809	
16.9922	431.388952344	
17.1094	412.513693530	
17.2266	376.796009006	
17.3438	325.349345876	
17.4609	256.094069633	
17.5781	217.628037970	
17.6953	188.928699013	
17.8125	123.707137083	
17.9297	51.528377851	
18.0469	-18.843161576	
18.1641	-94.457409236	
18.2812	-179.598843651	
18.3984	-258.698839167	
18.5156	-270.758461607	
18.6328	-268.046475188	
18.7500	-261.988212492	
18.8672	-261.250339400	
18.9844	-260.226958354	
19.1016	-260.526904008	
19.2188	-262.003909858	
19.3359	-262.637424537	
19.4531	-260.977597668	
19.5703	-262.554892244	
19.6875	-262.295764586	
19.8047	-258.887207557	
19.9219	-261.859968889	
20.0391	-259.251444584	
20.1562	-262.433552575	
20.2734	-261.658349790	
20.3906	-263.309116760	
20.5078	-261.498953699	
20.6250	-260.737122744	
20.7422	-262.572551781	
20.8594	-263.674928367	
20.9766	-265.090452868	
21.0938	-264.716695680	
21.2109	-265.143746394	
21.3281	-260.448053814	
21.4453	-260.239845697	
21.5625	-260.292993877	
21.6797	-263.776840124	
21.7969	-263.437844849	
21.9141	-262.719593464	
22.0312	-261.994486594	
22.1484	-261.024035709	
22.2656	-260.293042326	
22.3828	-259.158132464	
22.5000	-215.136686749	
22.6172	-137.603520898	
22.7344	-50.687363617	
22.8516	27.492264816	
22.9688	106.662268646	
23.0859	177.446487704	
23.2031	224.896427072	
23.3203	265.551078503	
23.4375	316.579266332	
23.5547	347.786743971	
23.6719	381.363869797	
23.7891	415.183892980	
23.9062	416.865739765	
24.0234	424.337637463	
24.1406	427.949678864	
24.2578	434.338555216	
24.3750	430.886297496	
24.4922	429.357548477	
24.6094	426.879205721	
24.7266	432.744884993	
24.8438	431.514967309	
24.9609	430.242608598	
25.0781	427.284091173	
25.1953	424.750371598	
25.3125	426.906336970	
25.4297	422.124260429	
25.5469	420.384178355	
25.6641	420.527634837	
25.7812	418.392744632	
25.8984	384.935262772	
26.0156	350.978541695	
26.1328	287.121148686	
26.2500	227.265663445	
26.3672	206.344151251	
26.4844	159.727298704	
26.6016	91.750891459	
26.7188	19.966068282	
26.8359	-52.288676617	
26.9531	-131.409892647	
27.0703	-215.385276823	
27.1875	-267.565307320	
27.3047	-266.686254833	
27.4219	-265.147355819	
27.5391	-260.338826310	
27.6562	-258.832799712	
27.7734	-257.808885731	
27.8906	-258.746851789	
28.0078	-259.874179435	
28.1250	-262.810822291	
28.2422	-265.404836223	
28.3594	-267.395228299	
28.4766	-268.061324702	
28.5938	-268.042114808	
28.7109	-267.125926423	
28.8281	-268.836697057	
28.9453	-271.102592439	
29.0625	-274.266265716	
29.1797	-273.526260882	
29.2969	-271.940366669	
29.4141	-271.745821074	
29.5312	-266.200072529	
29.6484	-264.078336135	
29.7656	-263.175228888	
29.8828	-264.304494480	
