X Unit:	MicroMeter
Y Unit:	NanoMeter

X	Y
0.0000	-357.709465586	
0.1172	-350.910398654	
0.2344	-346.325435487	
0.3516	-344.268571849	
0.4688	-339.867253327	
0.5859	-337.123533035	
0.7031	-335.473395899	
0.8203	-310.817897025	
0.9375	-230.065269266	
1.0547	-160.692601919	
1.1719	-104.382298929	
1.2891	-52.121940554	
1.4062	-1.408765912	
1.5234	48.828352195	
1.6406	96.361671707	
1.7578	142.002877249	
1.8750	181.249877088	
1.9922	219.863701388	
2.1094	263.415897606	
2.2266	298.972466112	
2.3438	333.984374781	
2.4609	339.792497044	
2.5781	339.281412130	
2.6953	341.984944257	
2.8125	344.499429714	
2.9297	343.672604881	
3.0469	344.311981848	
3.1641	346.561889172	
3.2812	344.974953312	
3.3984	346.814645831	
3.5156	344.941620634	
3.6328	342.366574353	
3.7500	343.955496607	
3.8672	343.135551485	
3.9844	344.032142388	
4.1016	345.930263991	
4.2187	343.522365587	
4.3359	343.670715384	
4.4531	343.087054376	
4.5703	341.501378182	
4.6875	338.111861476	
4.8047	337.477620067	
4.9219	336.860820176	
5.0391	302.865703536	
5.1562	261.179507459	
5.2734	211.644047070	
5.3906	166.354917940	
5.5078	123.985692654	
5.6250	77.348624904	
5.7422	27.321144149	
5.8594	-22.334783833	
5.9766	-70.226599205	
6.0937	-121.078385462	
6.2109	-177.783339125	
6.3281	-240.888603023	
6.4453	-316.519577583	
6.5625	-335.190310378	
6.6797	-339.824884974	
6.7969	-343.524545776	
6.9141	-343.748499707	
7.0312	-345.692405294	
7.1484	-348.633747670	
7.2656	-348.507974949	
7.3828	-350.403359203	
7.5000	-353.230386965	
7.6172	-351.729786617	
7.7344	-353.468269886	
7.8516	-352.327110147	
7.9687	-351.967790660	
8.0859	-355.533030655	
8.2031	-356.149782098	
8.3203	-354.470890681	
8.4375	-354.493685776	
8.5547	-352.287600265	
8.6719	-349.660084085	
8.7891	-348.503105858	
8.9062	-345.505199672	
9.0234	-338.744794771	
9.1406	-337.213211505	
9.2578	-335.448541736	
9.3750	-331.099499318	
9.4922	-327.865938849	
9.6094	-308.220370566	
9.7266	-227.563210891	
9.8438	-151.147707179	
9.9609	-91.710430772	
10.0781	-43.468646504	
10.1953	4.911918950	
10.3125	53.426226931	
10.4297	98.770296841	
10.5469	140.629842224	
10.6641	183.903022609	
10.7812	222.504637847	
10.8984	260.279525150	
11.0156	297.847730469	
11.1328	326.496731268	
11.2500	333.697316470	
11.3672	337.878290486	
11.4844	337.805714393	
11.6016	339.100747076	
11.7187	339.141250156	
11.8359	338.532638089	
11.9531	342.668603299	
12.0703	342.716179884	
12.1875	343.861700002	
12.3047	345.515155872	
12.4219	345.278048129	
12.5391	344.551415126	
12.6562	347.580909839	
12.7734	346.769152540	
12.8906	346.167420182	
13.0078	347.352619753	
13.1250	344.980428011	
13.2422	342.447968101	
13.3594	344.234560889	
13.4766	339.065767144	
13.5937	341.934509202	
13.7109	336.032154295	
13.8281	306.029740177	
13.9453	263.092163660	
14.0625	213.500405929	
14.1797	177.051073965	
14.2969	131.671103597	
14.4141	85.713867445	
14.5312	39.028665952	
14.6484	-13.963630555	
14.7656	-63.168186595	
14.8828	-112.044163823	
15.0000	-173.354005165	
15.1172	-243.548725152	
15.2344	-317.937524516	
15.3516	-336.790448498	
15.4688	-339.958046116	
15.5859	-340.223011838	
15.7031	-344.794239810	
15.8203	-344.910274351	
15.9375	-346.451087086	
16.0547	-350.234709417	
16.1719	-353.392762649	
16.2891	-352.913242036	
16.4062	-354.569532153	
16.5234	-355.248249432	
16.6406	-353.908183719	
16.7578	-355.322351657	
16.8750	-354.133300418	
16.9922	-350.481070853	
17.1094	-351.098791269	
17.2266	-349.099121274	
17.3438	-347.446028769	
17.4609	-347.030654182	
17.5781	-348.169318815	
17.6953	-344.426805172	
17.8125	-342.381569213	
17.9297	-340.965269534	
18.0469	-337.485202283	
18.1641	-334.933144890	
18.2812	-334.729733191	
18.3984	-298.174565129	
18.5156	-224.885380777	
18.6328	-159.655994389	
18.7500	-103.337067537	
18.8672	-51.639198105	
18.9844	0.494660819	
19.1016	47.941765940	
19.2188	96.788310607	
19.3359	141.340099580	
19.4531	182.805418216	
19.5703	222.718151092	
19.6875	262.375123491	
19.8047	307.351322726	
19.9219	330.219235614	
20.0391	339.889491262	
20.1562	340.772758783	
20.2734	340.893541293	
20.3906	342.726450999	
20.5078	341.708399306	
20.6250	344.028411841	
20.7422	344.792204966	
20.8594	340.838552063	
20.9766	344.508005127	
21.0938	342.469963793	
21.2109	343.353570455	
21.3281	346.140434278	
21.4453	345.647905200	
21.5625	343.128187289	
21.6797	345.876098389	
21.7969	343.813832726	
21.9141	344.641238942	
22.0312	343.966542902	
22.1484	342.897135629	
22.2656	338.365199519	
22.3828	335.828718371	
22.5000	329.922923609	
22.6172	295.543415300	
22.7344	255.231756157	
22.8516	206.968266889	
22.9688	172.419139821	
23.0859	125.102967203	
23.2031	80.612659580	
23.3203	30.767660703	
23.4375	-21.606988061	
23.5547	-73.026616839	
23.6719	-126.512871659	
23.7891	-191.263621623	
23.9062	-271.812001944	
24.0234	-335.752266386	
24.1406	-340.649045130	
24.2578	-345.429934679	
24.3750	-350.276084573	
24.4922	-351.488197374	
24.6094	-351.735140194	
24.7266	-354.047885430	
24.8438	-355.297231027	
24.9609	-354.065544967	
25.0781	-355.926482224	
25.1953	-353.686409978	
25.3125	-354.612651461	
25.4297	-356.168531729	
25.5469	-353.002169552	
25.6641	-354.802885124	
25.7812	-352.480934643	
25.8984	-352.783012038	
26.0156	-350.316999466	
26.1328	-351.442171147	
26.2500	-352.923416255	
26.3672	-351.096489958	
26.4844	-353.200566815	
26.6016	-351.870578424	
26.7188	-350.540444686	
26.8359	-351.100874561	
26.9531	-347.156887166	
27.0703	-342.168273987	
27.1875	-332.640941886	
27.3047	-271.743495539	
27.4219	-199.326992676	
27.5391	-139.102970590	
27.6562	-84.502699393	
27.7734	-30.024337136	
27.8906	20.743463369	
28.0078	68.565730690	
28.1250	116.361181677	
28.2422	160.623489906	
28.3594	200.991833981	
28.4766	239.299317403	
28.5938	284.970803358	
28.7109	314.167855400	
28.8281	333.221017693	
28.9453	336.894685790	
29.0625	337.833620821	
29.1797	335.703963072	
29.2969	340.418066143	
29.4141	338.462290634	
29.5312	339.072743751	
29.6484	336.769978939	
29.7656	342.928481912	
29.8828	344.996755209	
