x(um)
y(nm)

X	Y
0.0000	-298.429162838	
0.1172	-296.040522776	
0.2344	-299.603776376	
0.3516	-298.819126103	
0.4688	-297.658804919	
0.5859	-298.536767312	
0.7031	-296.402797632	
0.8203	-298.388490188	
0.9375	-297.852042399	
1.0547	-296.334751488	
1.1719	-299.166381874	
1.2891	-297.932055362	
1.4062	-299.404725057	
1.5234	-297.513943425	
1.6406	-296.542039080	
1.7578	-297.427801708	
1.8750	-295.102871634	
1.9922	-297.989055210	
2.1094	-299.526549212	
2.2266	-286.825902552	
2.3438	-212.788670888	
2.4609	-128.073427224	
2.5781	-48.445050621	
2.6953	25.184655138	
2.8125	94.010748927	
2.9297	156.753943876	
3.0469	208.996812285	
3.1641	244.425476328	
3.2812	286.647320791	
3.3984	324.481654599	
3.5156	361.831501807	
3.6328	376.699135910	
3.7500	377.735258954	
3.8672	383.141548031	
3.9844	381.310673168	
4.1016	385.095094902	
4.2187	390.181913515	
4.3359	391.049338324	
4.4531	393.267317981	
4.5703	390.111856752	
4.6875	388.797686849	
4.8047	392.653328112	
4.9219	395.564656543	
5.0391	397.733945297	
5.1562	393.358304565	
5.2734	392.016034438	
5.3906	389.924118195	
5.5078	385.337725791	
5.6250	389.183774220	
5.7422	387.294954760	
5.8594	388.142903208	
5.9766	389.604550833	
6.0937	362.431974500	
6.2109	333.643199317	
6.3281	276.888500992	
6.4453	206.391824732	
6.5625	174.704366218	
6.6797	140.018468583	
6.7969	75.362399413	
6.9141	6.221122866	
7.0312	-61.703777397	
7.1484	-138.794825000	
7.2656	-224.430423635	
7.3828	-288.607020641	
7.5000	-290.153913683	
7.6172	-291.784962048	
7.7344	-294.873200761	
7.8516	-293.731968349	
7.9687	-294.001730488	
8.0859	-293.727704867	
8.2031	-290.692372091	
8.3203	-293.418675089	
8.4375	-291.765824827	
8.5547	-290.750946521	
8.6719	-291.804971344	
8.7891	-292.161505034	
8.9062	-297.037741546	
9.0234	-295.932191572	
9.1406	-296.234898800	
9.2578	-298.394328251	
9.3750	-299.121809106	
9.4922	-300.711869905	
9.6094	-300.299983621	
9.7266	-296.249263828	
9.8438	-296.322687772	
9.9609	-296.078651871	
10.0781	-295.225034930	
10.1953	-296.585400631	
10.3125	-294.438592056	
10.4297	-294.196809018	
10.5469	-292.318599814	
10.6641	-294.354097593	
10.7812	-295.953678553	
10.8984	-293.306589114	
11.0156	-276.395947690	
11.1328	-199.258474158	
11.2500	-113.542305401	
11.3672	-36.331843963	
11.4844	35.049044567	
11.6016	104.064572616	
11.7187	166.346584771	
11.8359	211.907898473	
11.9531	247.483071264	
12.0703	292.684120730	
12.1875	325.703772049	
12.3047	364.221813348	
12.4219	375.294221666	
12.5391	378.023092444	
12.6562	382.835352500	
12.7734	382.667138752	
12.8906	389.177475895	
13.0078	388.735042731	
13.1250	388.023913299	
13.2422	391.231505286	
13.3594	390.845805503	
13.4766	394.911084119	
13.5937	392.754828055	
13.7109	386.959060200	
13.8281	388.637660924	
13.9453	388.825157239	
14.0625	389.535753736	
14.1797	390.998467231	
14.2969	387.764809865	
14.4141	394.271755601	
14.5312	395.672503260	
14.6484	397.742908299	
14.7656	390.935677768	
14.8828	362.289632337	
15.0000	328.906858311	
15.1172	268.103111671	
15.2344	201.944916021	
15.3516	174.999224763	
15.4688	136.381330776	
15.5859	66.867362912	
15.7031	-4.994208999	
15.8203	-75.623610363	
15.9375	-152.925615545	
16.0547	-239.809748261	
16.1719	-288.947154459	
16.2891	-289.826594536	
16.4062	-288.434519187	
16.5234	-290.838251006	
16.6406	-288.202135189	
16.7578	-288.733423195	
16.8750	-287.528553468	
16.9922	-288.075926429	
17.1094	-288.382339980	
17.2266	-287.083988564	
17.3438	-290.750050221	
17.4609	-288.531779872	
17.5781	-292.363463273	
17.6953	-295.709594204	
17.8125	-294.648883465	
17.9297	-294.553996764	
18.0469	-293.121975495	
18.1641	-295.062635022	
18.2812	-296.599959454	
18.3984	-294.492370069	
18.5156	-295.709400409	
18.6328	-293.517558804	
18.7500	-294.946285565	
18.8672	-293.548759741	
18.9844	-292.361912916	
19.1016	-294.015296113	
19.2188	-291.933408742	
19.3359	-294.480209455	
19.4531	-294.306424111	
19.5703	-290.576022634	
19.6875	-293.907279826	
19.8047	-284.772648339	
19.9219	-213.653358348	
20.0391	-128.163469059	
20.1562	-47.402847270	
20.2734	21.921637884	
20.3906	90.977378321	
20.5078	157.897671394	
20.6250	210.224210639	
20.7422	246.760217256	
20.8594	287.892984289	
20.9766	325.785408041	
21.0938	364.181649409	
21.2109	379.088769170	
21.3281	382.488363197	
21.4453	392.154355363	
21.5625	387.621111139	
21.6797	388.964398688	
21.7969	387.705896294	
21.9141	389.377181271	
22.0312	394.526401758	
22.1484	392.660595411	
22.2656	392.674984663	
22.3828	393.057922872	
22.5000	397.439135200	
22.6172	401.611340009	
22.7344	397.085266187	
22.8516	390.213792733	
22.9688	388.085733789	
23.0859	387.436521745	
23.2031	391.493951677	
