X Unit:	MicroMeter
Y Unit:	NanoMeter

X	Y
0.0000	57.074629051	
0.0977	22.383620082	
0.1953	-11.765078811	
0.2930	-42.885203516	
0.3906	-78.933598593	
0.4883	-118.642580630	
0.5859	-153.909450372	
0.6836	-198.748394553	
0.7813	-244.039485854	
0.8789	-279.756661667	
0.9766	-288.586357287	
1.0742	-287.120300834	
1.1719	-295.275373088	
1.2695	-292.749332626	
1.3672	-292.898021564	
1.4648	-299.663586247	
1.5625	-297.059931032	
1.6602	-299.912757706	
1.7578	-302.243792311	
1.8555	-297.104939837	
1.9531	-300.318224542	
2.0508	-299.164734619	
2.1484	-288.742991805	
2.2461	-258.752568731	
2.3438	-211.866426420	
2.4414	-167.317156778	
2.5391	-122.793080438	
2.6367	-82.268731678	
2.7344	-39.675164871	
2.8320	0.154914590	
2.9297	42.159709056	
3.0273	74.663648613	
3.1250	102.726008812	
3.2227	124.845656370	
3.3203	161.020332880	
3.4180	195.237538178	
3.5156	209.100976905	
3.6133	211.528981503	
3.7109	219.083726410	
3.8086	251.535559433	
3.9063	286.305321699	
4.0039	288.373110510	
4.1016	288.693743742	
4.1992	290.718849284	
4.2969	290.452042513	
4.3945	306.074700534	
4.4922	288.934727377	
4.5898	288.691418207	
4.6875	288.001218596	
4.7852	288.562399425	
4.8828	284.252067487	
4.9805	251.397819893	
5.0781	242.898713704	
5.1758	241.428199974	
5.2734	226.941033199	
5.3711	221.597194444	
5.4688	202.594564104	
5.5664	169.500156502	
5.6641	130.327525357	
5.7617	97.109476775	
5.8594	54.995648600	
5.9570	17.047411991	
6.0547	-22.214267791	
6.1523	-60.781096891	
6.2500	-93.141846433	
6.3477	-136.510664474	
6.4453	-171.037057008	
6.5430	-216.172155736	
6.6406	-260.376785835	
6.7383	-279.870152653	
6.8359	-288.517099928	
6.9336	-286.259125902	
7.0313	-292.630221595	
7.1289	-292.062693992	
7.2266	-288.462667858	
7.3242	-292.256367510	
7.4219	-292.266977767	
7.5195	-288.428511553	
7.6172	-292.142658505	
7.7148	-296.357813051	
7.8125	-290.986503906	
7.9102	-294.673325814	
8.0078	-275.603981668	
8.1055	-230.301311138	
8.2031	-191.294761999	
8.3008	-149.602945878	
8.3984	-111.673059199	
8.4961	-69.854416598	
8.5938	-28.928864484	
8.6914	11.539065812	
8.7891	53.074320088	
8.8867	81.146515365	
8.9844	107.332047147	
9.0820	133.587877935	
9.1797	167.925768845	
9.2773	195.313796369	
9.3750	203.698418374	
9.4727	206.810663398	
9.5703	212.602119323	
9.6680	247.459961253	
9.7656	279.817367838	
9.8633	281.909768568	
9.9609	284.227504016	
10.0586	286.545917745	
10.1563	289.939358792	
10.2539	297.134953782	
10.3516	281.828617062	
10.4492	280.457713778	
10.5469	280.335671603	
10.6445	281.810836404	
10.7422	275.754220963	
10.8398	245.593621971	
10.9375	237.292816148	
11.0352	236.545834707	
11.1328	226.742442141	
11.2305	218.688724484	
11.3281	196.948647954	
11.4258	166.357291925	
11.5234	125.931826880	
11.6211	87.930248296	
11.7188	48.797684193	
11.8164	7.000419563	
11.9141	-24.112510516	
12.0117	-60.989208110	
12.1094	-99.504608957	
12.2070	-138.452438320	
12.3047	-178.337313216	
