X Unit:	MicroMeter
Y Unit:	NanoMeter

X	Y
0.0000	-205.117310057	
0.0977	-212.471186819	
0.1953	-218.860256965	
0.2930	-225.674972814	
0.3906	-230.550821737	
0.4883	-233.393062379	
0.5859	-234.998214935	
0.6836	-235.778335259	
0.7813	-235.767410086	
0.8789	-235.122195056	
0.9766	-233.802962267	
1.0742	-229.084813733	
1.1719	-222.678980350	
1.2695	-216.215880651	
1.3672	-207.171484794	
1.4648	-194.343430269	
1.5625	-179.264475223	
1.6602	-163.028323932	
1.7578	-144.043304679	
1.8555	-119.970982327	
1.9531	-89.076495144	
2.0508	-57.642241440	
2.1484	-27.463716443	
2.2461	-0.694608439	
2.3438	30.009608744	
2.4414	59.350407959	
2.5391	90.885374316	
2.6367	121.939100132	
2.7344	152.267161918	
2.8320	181.359104592	
2.9297	207.096244025	
3.0273	236.467517448	
3.1250	267.002382339	
3.2227	285.787914234	
3.3203	288.295229289	
3.4180	288.321488463	
3.5156	289.013238431	
3.6133	287.686326530	
3.7109	289.664727563	
3.8086	293.290722178	
3.9063	290.037152412	
4.0039	289.496368469	
4.1016	287.809483023	
4.1992	285.285598527	
4.2969	276.431218314	
4.3945	252.785849779	
4.4922	219.097946091	
4.5898	184.344850164	
4.6875	147.521761013	
4.7852	110.569217041	
4.8828	90.147791915	
4.9805	70.802072389	
5.0781	36.683871927	
5.1758	0.784504928	
5.2734	-36.279882775	
5.3711	-68.764757785	
5.4688	-94.608484270	
5.5664	-125.409937914	
5.6641	-159.155253263	
5.7617	-189.699929008	
5.8594	-204.511411114	
5.9570	-216.106774269	
6.0547	-226.534524717	
6.1523	-232.974780872	
6.2500	-236.052045964	
6.3477	-237.054400291	
6.4453	-236.993112736	
6.5430	-236.527448440	
6.6406	-235.792845632	
6.7383	-234.977478908	
6.8359	-233.454858645	
6.9336	-228.871106693	
7.0313	-222.298900612	
7.1289	-212.842860715	
7.2266	-202.962664911	
7.3242	-191.038299017	
7.4219	-176.573733542	
7.5195	-161.169239837	
7.6172	-142.706327569	
7.7148	-113.438492035	
7.8125	-83.578868231	
7.9102	-51.668848685	
8.0078	-18.126072959	
8.1055	15.443252633	
8.2031	47.516580500	
8.3008	78.125378047	
8.3984	107.621382545	
8.4961	133.691218927	
8.5938	152.883913361	
8.6914	182.503994877	
8.7891	214.349686715	
8.8867	243.270726740	
8.9844	270.512342414	
9.0820	283.752392231	
9.1797	288.926466881	
9.2773	289.466233402	
9.3750	288.573276149	
9.4727	290.427261023	
9.5703	291.962841303	
9.6680	293.049980786	
9.7656	290.109244019	
9.8633	290.982870256	
9.9609	287.358813588	
10.0586	281.034906889	
10.1563	270.253917261	
10.2539	245.400965874	
10.3516	214.131280156	
10.4492	179.542328289	
10.5469	143.952063740	
10.6445	106.801316301	
10.7422	87.172075215	
10.8398	62.004013743	
10.9375	30.566550315	
11.0352	-4.669845220	
11.1328	-42.186767633	
11.2305	-74.949846960	
11.3281	-101.945307104	
11.4258	-135.072223757	
11.5234	-171.071552454	
11.6211	-191.403505017	
11.7188	-203.373424763	
11.8164	-214.528268476	
11.9141	-224.378922710	
12.0117	-231.598669357	
12.1094	-235.184960295	
12.2070	-236.581347575	
12.3047	-236.974120862	
12.4023	-236.575582184	
12.5000	-235.992744804	
12.5977	-234.868517872	
12.6953	-229.649967352	
12.7930	-223.825881255	
12.8906	-217.163245750	
12.9883	-208.699337513	
13.0859	-198.992466790	
13.1836	-189.027219363	
13.2813	-176.608398558	
13.3789	-159.670298856	
13.4766	-136.565193441	
13.5742	-106.639207084	
13.6719	-77.516475287	
13.7695	-47.635134371	
13.8672	-18.041820739	
13.9648	12.996425730	
14.0625	44.004730928	
14.1602	73.877181515	
14.2578	101.442555359	
14.3555	131.108711551	
14.4531	157.674298847	
14.5508	186.980069682	
14.6484	216.594313135	
14.7461	247.351072889	
14.8438	276.185002224	
14.9414	288.911786937	
15.0391	291.941475444	
15.1367	289.915546276	
15.2344	297.105811913	
15.3320	287.830412845	
15.4297	292.957201602	
15.5273	290.216509352	
15.6250	287.736616239	
15.7227	288.882136357	
15.8203	289.123943619	
15.9180	285.100960684	
16.0156	269.492304325	
16.1133	238.070877404	
16.2109	205.329854328	
16.3086	171.831045761	
16.4063	135.215777137	
16.5039	100.005616551	
16.6016	78.930909693	
16.6992	52.473120666	
16.7969	18.573544783	
16.8945	-16.490809561	
16.9922	-52.842141997	
17.0898	-74.395376270	
17.1875	-94.581692161	
17.2852	-130.202006991	
17.3828	-165.655004373	
17.4805	-196.394734424	
17.5781	-210.165708882	
17.6758	-215.417083369	
17.7734	-222.266052421	
