X Unit:	MicroMeter
Y Unit:	MicroMeter

X	Y
0.0000	-1.524007833	
0.0781	-1.529287865	
0.1562	-1.535045019	
0.2344	-1.535397726	
0.3125	-1.534717797	
0.3906	-1.536080949	
0.4688	-1.536310692	
0.5469	-1.536609330	
0.6250	-1.540510028	
0.7031	-1.544163445	
0.7812	-1.547148270	
0.8594	-1.546067380	
0.9375	-1.545727271	
1.0156	-1.544012769	
1.0938	-1.545263132	
1.1719	-1.545241815	
1.2500	-1.545794614	
1.3281	-1.544999087	
1.4062	-1.543593495	
1.4844	-1.542545453	
1.5625	-1.546019028	
1.6406	-1.544155693	
1.7188	-1.541043351	
1.7969	-1.539204143	
1.8750	-1.538428383	
1.9531	-1.537472976	
2.0312	-1.534133797	
2.1094	-1.533695337	
2.1875	-1.534773222	
2.2656	-1.529764406	
2.3438	-1.530820587	
2.4219	-1.532380828	
2.5000	-1.536353036	
2.5781	-1.536872503	
2.6562	-1.534199203	
2.7344	-1.527115524	
2.8125	-1.524576039	
2.8906	-1.522731599	
2.9688	-1.523182365	
3.0469	-1.522497592	
3.1250	-1.521706425	
3.2031	-1.517691000	
3.2812	-1.502841486	
3.3594	-1.490974471	
3.4375	-1.476827947	
3.5156	-1.423040244	
3.5938	-1.371325951	
3.6719	-1.339088988	
3.7500	-1.276606010	
3.8281	-1.219949081	
3.9063	-1.180190367	
3.9844	-1.181341216	
4.0625	-1.202633337	
4.1406	-1.233449688	
4.2187	-1.275276288	
4.2969	-1.326761904	
4.3750	-1.361561511	
4.4531	-1.394846128	
4.5312	-1.435290779	
4.6094	-1.469013372	
4.6875	-1.499340682	
4.7656	-1.513609588	
4.8437	-1.517014463	
4.9219	-1.521650418	
5.0000	-1.523854735	
5.0781	-1.523702704	
5.1562	-1.523700281	
5.2344	-1.523252616	
5.3125	-1.527492745	
5.3906	-1.530017696	
5.4687	-1.529739310	
5.5469	-1.532185773	
5.6250	-1.533993005	
5.7031	-1.536706712	
5.7812	-1.537240519	
5.8594	-1.540054223	
5.9375	-1.541142768	
6.0156	-1.540536287	
6.0937	-1.538674987	
6.1719	-1.541571441	
6.2500	-1.542694966	
6.3281	-1.544266931	
6.4062	-1.545066528	
6.4844	-1.547195265	
6.5625	-1.546609327	
6.6406	-1.545951007	
6.7187	-1.544381658	
6.7969	-1.544381948	
6.8750	-1.544175072	
6.9531	-1.543754344	
7.0312	-1.540117691	
7.1094	-1.539313734	
7.1875	-1.536538498	
7.2656	-1.537536249	
7.3437	-1.536285790	
7.4219	-1.535262651	
7.5000	-1.535021764	
7.5781	-1.531066319	
7.6562	-1.525598403	
7.7344	-1.521794408	
7.8125	-1.519011807	
7.8906	-1.519067136	
7.9687	-1.519448911	
8.0469	-1.516975026	
8.1250	-1.513387112	
8.2031	-1.497558450	
8.2812	-1.493832942	
8.3594	-1.470176527	
8.4375	-1.406160634	
8.5156	-1.365032470	
8.5938	-1.331762678	
8.6719	-1.273231852	
8.7500	-1.227846407	
8.8281	-1.195273888	
8.9062	-1.197522100	
8.9844	-1.217131307	
9.0625	-1.247105718	
9.1406	-1.294672419	
9.2188	-1.340692541	
9.2969	-1.363957782	
9.3750	-1.397779501	
9.4531	-1.437933750	
9.5312	-1.466435515	
9.6094	-1.498614243	
9.6875	-1.517488000	
9.7656	-1.519863632	
9.8438	-1.518153588	
9.9219	-1.517663481	
10.0000	-1.519042524	
10.0781	-1.522262325	
10.1562	-1.525465169	
10.2344	-1.528126745	
10.3125	-1.531911069	
10.3906	-1.533177227	
10.4688	-1.533740297	
10.5469	-1.537479468	
10.6250	-1.543537197	
10.7031	-1.543768782	
10.7812	-1.541723280	
10.8594	-1.539730877	
10.9375	-1.542107284	
11.0156	-1.541231719	
11.0937	-1.541172321	
11.1719	-1.539697254	
11.2500	-1.540195015	
11.3281	-1.538011240	
11.4062	-1.541625413	
11.4844	-1.547363576	
11.5625	-1.547492062	
11.6406	-1.547364932	
11.7187	-1.547851841	
11.7969	-1.545463225	
11.8750	-1.542742833	
11.9531	-1.538100192	
12.0312	-1.533984091	
12.1094	-1.534207245	
12.1875	-1.533833125	
12.2656	-1.532875682	
12.3437	-1.531229300	
12.4219	-1.534589893	
12.5000	-1.533773436	
12.5781	-1.531013800	
12.6562	-1.527653789	
12.7344	-1.521829097	
12.8125	-1.515931538	
12.8906	-1.514564899	
12.9687	-1.511543543	
13.0469	-1.506729200	
13.1250	-1.492276093	
13.2031	-1.493378687	
13.2812	-1.458608247	
13.3594	-1.397031744	
13.4375	-1.362214696	
13.5156	-1.323320402	
13.5937	-1.261659405	
13.6719	-1.215299560	
13.7500	-1.192092168	
13.8281	-1.199294449	
13.9062	-1.227305332	
13.9844	-1.259493168	
14.0625	-1.310075895	
14.1406	-1.349255164	
14.2187	-1.372959833	
14.2969	-1.410771978	
14.3750	-1.450146010	
14.4531	-1.484942516	
14.5312	-1.510439592	
14.6094	-1.516279594	
14.6875	-1.519814214	
14.7656	-1.521165157	
14.8437	-1.524452495	
14.9219	-1.525667297	
15.0000	-1.528050583	
15.0781	-1.529242323	
15.1562	-1.533481097	
15.2344	-1.536002074	
15.3125	-1.535279317	
15.3906	-1.533862775	
15.4688	-1.534393676	
15.5469	-1.532280733	
15.6250	-1.535873879	
15.7031	-1.538995232	
15.7812	-1.541297997	
15.8594	-1.542454757	
15.9375	-1.540609736	
16.0156	-1.541293637	
16.0938	-1.539469545	
16.1719	-1.537216101	
16.2500	-1.540490164	
16.3281	-1.539907036	
16.4062	-1.540167690	
16.4844	-1.539989787	
16.5625	-1.537846515	
16.6406	-1.536710781	
16.7188	-1.537269782	
16.7969	-1.538412104	
16.8750	-1.540524950	
16.9531	-1.541191992	
17.0312	-1.539347163	
17.1094	-1.534997152	
17.1875	-1.532780238	
17.2656	-1.530926883	
17.3438	-1.527025991	
17.4219	-1.524122753	
17.5000	-1.520756153	
17.5781	-1.519234284	
17.6562	-1.518633036	
17.7344	-1.516964948	
17.8125	-1.514590480	
17.8906	-1.509665189	
17.9688	-1.495951311	
18.0469	-1.491803428	
18.1250	-1.474326445	
18.2031	-1.416586301	
18.2812	-1.367980765	
18.3594	-1.334572410	
18.4375	-1.282490197	
18.5156	-1.224940553	
18.5938	-1.186290731	
18.6719	-1.189048235	
18.7500	-1.212400296	
18.8281	-1.245906711	
18.9062	-1.291193321	
18.9844	-1.339822694	
19.0625	-1.362474477	
19.1406	-1.398242379	
19.2188	-1.437184831	
19.2969	-1.471635607	
19.3750	-1.503223164	
19.4531	-1.520588617	
19.5312	-1.524424298	
19.6094	-1.527053316	
19.6875	-1.528335074	
19.7656	-1.530876690	
19.8438	-1.532873163	
19.9219	-1.532849035	
