x(um)
y(nm)

X	Y
0.0000	-538.200951574	
0.0781	-537.784826033	
0.1562	-541.003512763	
0.2344	-542.022242738	
0.3125	-541.901363331	
0.3906	-540.419851756	
0.4688	-538.110110336	
0.5469	-537.207269557	
0.6250	-537.031061780	
0.7031	-532.977749983	
0.7812	-533.693336692	
0.8594	-534.734982883	
0.9375	-537.311821765	
1.0156	-537.692385990	
1.0938	-540.105323054	
1.1719	-538.968475247	
1.2500	-539.722239500	
1.3281	-537.944028330	
1.4062	-540.377992113	
1.4844	-541.795648355	
1.5625	-539.253208022	
1.6406	-541.175214814	
1.7188	-540.922215912	
1.7969	-539.031506953	
1.8750	-538.280262031	
1.9531	-540.929628557	
2.0312	-541.604905980	
2.1094	-545.242867414	
2.1875	-547.108625313	
2.2656	-547.459054471	
2.3438	-544.068956382	
2.4219	-543.419550542	
2.5000	-548.378706936	
2.5781	-549.882989382	
2.6562	-552.682062267	
2.7344	-554.753436279	
2.8125	-555.804723753	
2.8906	-559.102866286	
2.9688	-562.230227292	
3.0469	-563.169501464	
3.1250	-565.006916896	
3.2031	-563.954999589	
3.2812	-560.298773010	
3.3594	-561.918411716	
3.4375	-545.648964083	
3.5156	-512.882893050	
3.5938	-484.914062990	
3.6719	-460.762793546	
3.7500	-456.089532695	
3.8281	-404.795943107	
3.9063	-357.000637466	
3.9844	-315.848490968	
4.0625	-269.652911633	
4.1406	-222.122159900	
4.2187	-177.466157860	
4.2969	-164.573436486	
4.3750	-174.861194531	
4.4531	-208.907836321	
4.5312	-240.057030222	
4.6094	-282.654303351	
4.6875	-327.364907032	
4.7656	-363.187071091	
4.8437	-398.690176500	
4.9219	-431.601351269	
5.0000	-459.738007489	
5.0781	-492.889293817	
5.1562	-521.340720981	
5.2344	-536.918903132	
5.3125	-538.279389955	
5.3906	-538.097562134	
5.4687	-539.039840123	
5.5469	-539.574180394	
5.6250	-541.534025591	
5.7031	-541.208692838	
5.7812	-539.571806410	
5.8594	-538.566642060	
5.9375	-537.869659637	
6.0156	-535.465443331	
6.0937	-535.454687728	
6.1719	-536.846230142	
6.2500	-539.476701690	
6.3281	-537.626156671	
6.4062	-536.130594984	
6.4844	-534.386152531	
6.5625	-538.757432883	
6.6406	-540.787770880	
6.7187	-543.005508294	
6.7969	-547.301596326	
6.8750	-548.951370098	
6.9531	-546.640320565	
7.0312	-541.917496735	
7.1094	-541.098714380	
7.1875	-539.108443425	
7.2656	-538.853748820	
7.3437	-539.062514096	
7.4219	-538.126534432	
7.5000	-538.180796931	
7.5781	-541.106950652	
7.6562	-542.352226561	
7.7344	-542.667385095	
7.8125	-544.243662250	
7.8906	-545.737431336	
7.9687	-547.911855648	
8.0469	-548.605882703	
8.1250	-549.603149921	
8.2031	-548.936447910	
8.2812	-544.945005052	
8.3594	-547.168701651	
8.4375	-547.064779275	
8.5156	-547.407650443	
8.5938	-549.089884817	
8.6719	-553.068343434	
8.7500	-556.109126684	
8.8281	-559.826834613	
8.9062	-561.613814990	
8.9844	-564.161245535	
9.0625	-565.269217942	
9.1406	-567.884961098	
9.2188	-570.239808219	
9.2969	-558.995697850	
9.3750	-522.890254475	
9.4531	-498.859283054	
9.5312	-470.790600305	
9.6094	-454.490000184	
9.6875	-419.077808685	
9.7656	-378.027743515	
9.8438	-328.130468533	
9.9219	-280.273778440	
10.0000	-235.933201401	
10.0781	-191.350550631	
10.1562	-158.771273408	
10.2344	-162.422267531	
10.3125	-187.415925940	
10.3906	-217.641773165	
10.4688	-257.203011012	
10.5469	-301.246234401	
10.6250	-331.010547578	
10.7031	-367.466807701	
10.7812	-407.492813544	
10.8594	-441.739088038	
10.9375	-474.940518730	
11.0156	-505.435268131	
11.0937	-530.721253641	
11.1719	-536.770601784	
11.2500	-536.424436107	
11.3281	-538.504627775	
11.4062	-540.716212209	
11.4844	-539.229855767	
11.5625	-538.889794623	
11.6406	-539.192598748	
11.7187	-537.901296612	
11.7969	-537.899116422	
11.8750	-535.422178677	
11.9531	-535.359389214	
12.0312	-537.624121828	
12.1094	-537.158094167	
12.1875	-534.571226412	
12.2656	-535.205613167	
12.3437	-535.173249462	
12.4219	-538.336026438	
12.5000	-542.072193306	
12.5781	-542.647618042	
12.6562	-543.038308036	
12.7344	-546.459219474	
12.8125	-544.693604956	
12.8906	-547.507600028	
12.9687	-547.864618204	
13.0469	-545.620621617	
13.1250	-545.651192721	
13.2031	-547.199466550	
13.2812	-544.859929205	
13.3594	-543.415383958	
13.4375	-543.173818939	
13.5156	-542.897128641	
13.5937	-545.351537759	
13.6719	-545.457398081	
13.7500	-544.381547136	
13.8281	-544.216967038	
13.9062	-541.245126231	
13.9844	-541.792886781	
14.0625	-545.277847347	
14.1406	-542.234883907	
14.2187	-542.123209745	
14.2969	-541.218237224	
14.3750	-543.675117224	
14.4531	-545.515342679	
14.5312	-549.832118289	
14.6094	-553.000030823	
14.6875	-557.125385777	
14.7656	-559.699705329	
14.8437	-561.581015247	
14.9219	-562.563893214	
15.0000	-565.128377687	
15.0781	-565.207881938	
15.1562	-563.854274825	
15.2344	-534.849273272	
15.3125	-506.004297643	
15.3906	-477.104962617	
15.4688	-462.507042205	
15.5469	-439.358417781	
15.6250	-388.730973044	
15.7031	-344.070731745	
15.7812	-304.886715165	
15.8594	-253.587844673	
15.9375	-205.308343123	
16.0156	-164.258871449	
16.0938	-163.743414042	
16.1719	-180.936063004	
16.2500	-215.344192360	
16.3281	-252.410518009	
16.4062	-295.814679347	
16.4844	-335.960862092	
16.5625	-371.371963495	
16.6406	-410.402494720	
16.7188	-435.136746890	
16.7969	-468.235950909	
16.8750	-499.759265363	
16.9531	-524.698600711	
17.0312	-531.013835099	
17.1094	-531.430542025	
17.1875	-533.986935572	
17.2656	-534.706010584	
17.3438	-537.420007623	
17.4219	-540.351926734	
17.5000	-538.661504536	
17.5781	-537.705806268	
17.6562	-536.558687344	
17.7344	-538.035063362	
17.8125	-540.125380800	
17.8906	-543.075032121	
17.9688	-544.290463655	
18.0469	-545.420383305	
18.1250	-542.606242886	
18.2031	-539.488426266	
18.2812	-538.821821153	
18.3594	-540.582929945	
18.4375	-542.228052646	
18.5156	-544.937204818	
18.5938	-545.747847798	
18.6719	-547.362835432	
18.7500	-545.392961363	
18.8281	-543.864115447	
18.9062	-542.529984695	
18.9844	-539.646029757	
