x(um)
y(nm)

X	Y
0.0000	-441.851149789	
0.0781	-440.918028596	
0.1562	-442.834076204	
0.2344	-440.626658355	
0.3125	-441.429113511	
0.3906	-439.605118358	
0.4688	-435.659701727	
0.5469	-434.681717075	
0.6250	-433.684207613	
0.7031	-432.598037104	
0.7812	-430.558590759	
0.8594	-425.548708619	
0.9375	-421.547139991	
1.0156	-418.682273825	
1.0938	-405.547551394	
1.1719	-377.066861240	
1.2500	-340.880799295	
1.3281	-308.319641870	
1.4062	-268.570350549	
1.4844	-225.181910801	
1.5625	-184.745447910	
1.6406	-145.597913171	
1.7188	-108.381081759	
1.7969	-70.196948625	
1.8750	-34.416547310	
1.9531	-20.242431551	
2.0312	-28.362766116	
2.1094	-60.258238951	
2.1875	-92.994368712	
2.2656	-133.367702999	
2.3438	-175.734384731	
2.4219	-217.014023877	
2.5000	-253.440124708	
2.5781	-289.938196024	
2.6562	-323.499794055	
2.7344	-353.826014792	
2.8125	-380.878656467	
2.8906	-404.563801352	
2.9688	-415.233213716	
3.0469	-419.189967333	
3.1250	-424.553379347	
3.2031	-427.587767374	
3.2812	-431.251019009	
3.3594	-433.916228246	
3.4375	-435.140041399	
3.5156	-438.163673824	
3.5938	-435.965218977	
3.6719	-432.307345144	
3.7500	-430.017564573	
3.8281	-433.449086266	
3.9063	-433.612116007	
3.9844	-435.171629926	
4.0625	-434.227123298	
4.1406	-433.019395100	
4.2187	-433.869136149	
4.2969	-432.451915945	
4.3750	-431.853478096	
4.4531	-432.424542452	
4.5312	-428.961093092	
4.6094	-429.260408913	
4.6875	-429.458612382	
4.7656	-433.338720219	
4.8437	-434.916693076	
4.9219	-435.561641639	
5.0000	-435.139896053	
5.0781	-435.566002018	
5.1562	-436.029607246	
5.2344	-432.547117562	
5.3125	-435.724041547	
5.3906	-436.472524896	
5.4687	-436.024956175	
5.5469	-432.414416682	
5.6250	-428.833333975	
5.7031	-429.303479772	
5.7812	-431.966363474	
5.8594	-432.304438224	
5.9375	-429.695187189	
6.0156	-430.302588040	
6.0937	-430.215768041	
6.1719	-427.167426799	
6.2500	-426.785263769	
6.3281	-428.362219205	
6.4062	-428.604220262	
6.4844	-429.944746236	
6.5625	-429.724304833	
6.6406	-433.932555445	
6.7187	-438.818069875	
6.7969	-439.141900719	
6.8750	-439.923232260	
6.9531	-443.085573198	
7.0312	-444.155561855	
7.1094	-442.265724973	
7.1875	-441.751006409	
7.2656	-442.303950966	
7.3437	-444.459238056	
7.4219	-442.330403934	
7.5000	-439.559721963	
7.5781	-437.443193800	
7.6562	-433.709061776	
7.7344	-425.186264193	
7.8125	-420.152060825	
