X Unit:	MicroMeter
Y Unit:	NanoMeter

X	Y
0.0000	486.573914083	
0.1172	486.390535905	
0.2344	485.816709975	
0.3516	487.161257189	
0.4688	485.038091559	
0.5859	491.706371333	
0.7031	487.539495878	
0.8203	486.874731813	
0.9375	487.302533481	
1.0547	484.775160681	
1.1719	485.355139591	
1.2891	499.924765986	
1.4062	486.965137013	
1.5234	484.546676801	
1.6406	483.690588978	
1.7578	483.040989344	
1.8750	483.835208228	
1.9922	483.139485469	
2.1094	466.581283823	
2.2266	422.990570919	
2.3438	370.757271121	
2.4609	325.387353850	
2.5781	229.456923666	
2.6953	63.452495445	
2.8125	11.454486564	
2.9297	6.433394614	
3.0469	0.458015464	
3.1641	-6.606447172	
3.2812	-9.140045625	
3.3984	-11.987446048	
3.5156	-18.851246446	
3.6328	-25.521960766	
3.7500	-31.691001322	
3.8672	-34.905860608	
3.9844	-33.281958421	
4.1016	-31.283560203	
4.2187	-33.436394581	
4.3359	-37.832420087	
4.4531	-39.492034993	
4.5703	-37.572414296	
4.6875	-34.963514514	
4.8047	-39.335430755	
4.9219	-41.580347867	
5.0391	-39.175168644	
5.1562	-40.653313037	
5.2734	-38.911753279	
5.3906	-31.685714362	
5.5078	-29.214566232	
5.6250	-30.282974252	
5.7422	-33.367106941	
5.8594	-32.367780654	
5.9766	-33.590104011	
6.0937	-33.469127707	
6.2109	-29.248819435	
6.3281	-22.830510522	
6.4453	-21.415149536	
6.5625	-21.942089275	
6.6797	-20.665624541	
6.7969	-13.163646281	
6.9141	-4.834134626	
7.0312	32.244394029	
7.1484	181.375831492	
7.2656	279.781782297	
7.3828	339.038611670	
7.5000	395.169703066	
7.6172	450.715171285	
7.7344	480.456640919	
7.8516	482.917590606	
7.9687	480.266383031	
8.0859	479.077259119	
8.2031	479.040292792	
8.3203	478.209495169	
8.4375	478.713458131	
8.5547	495.769954246	
8.6719	477.484073382	
8.7891	478.550815979	
8.9062	476.972455532	
9.0234	479.146298460	
9.1406	496.584618465	
9.2578	476.660543059	
9.3750	478.778040195	
9.4922	476.729001015	
9.6094	476.317817238	
9.7266	477.077831368	
9.8438	476.035797588	
9.9609	463.086245936	
10.0781	407.285695522	
10.1953	356.949112316	
10.3125	311.983281094	
10.4297	229.593645785	
10.5469	81.887713247	
10.6641	5.028226015	
10.7812	-0.031110096	
10.8984	-6.511608920	
11.0156	-12.967683563	
11.1328	-21.354661384	
11.2500	-27.867384623	
11.3672	-27.986011167	
11.4844	-25.182753528	
11.6016	-28.298111379	
11.7187	-33.065265733	
11.8359	-39.431571065	
11.9531	-38.688205105	
12.0703	-38.180796233	
12.1875	-39.851887415	
12.3047	-40.249554017	
12.4219	-40.991563414	
12.5391	-48.182931258	
12.6562	-47.403362037	
12.7734	-47.208646873	
12.8906	-45.227762846	
13.0078	-44.007807418	
13.1250	-47.378332248	
13.2422	-46.847886038	
13.3594	-43.288290311	
13.4766	-41.576066217	
13.5937	-39.854073661	
13.7109	-38.667505415	
13.8281	-33.523329645	
13.9453	-31.325026200	
14.0625	-28.596839761	
14.1797	-26.266447100	
14.2969	-26.203693973	
14.4141	-24.714388219	
14.5312	-21.404581672	
14.6484	-14.766642871	
14.7656	-8.981103739	
14.8828	5.261591098	
15.0000	137.634746060	
15.1172	254.963544375	
15.2344	315.508526721	
15.3516	367.977093213	
15.4688	425.824526840	
15.5859	469.255116922	
15.7031	472.640563940	
15.8203	472.480344221	
15.9375	474.497358836	
16.0547	471.944405144	
16.1719	472.256899001	
16.2891	483.605949168	
16.4062	477.293137213	
16.5234	471.555362404	
16.6406	471.614518218	
16.7578	471.365492105	
16.8750	471.234293134	
16.9922	471.461275106	
17.1094	480.818939999	
17.2266	470.601602082	
17.3438	470.177627858	
17.4609	470.550343400	
17.5781	470.365221070	
17.6953	469.855589615	
17.8125	469.846675061	
17.9297	442.478559936	
18.0469	395.157033742	
18.1641	344.210796822	
18.2812	261.830657450	
18.3984	100.641886747	
18.5156	10.161222257	
18.6328	5.036541016	
18.7500	-0.730920710	
18.8672	-10.548308882	
18.9844	-15.079372916	
19.1016	-17.379146023	
19.2188	-21.570433547	
19.3359	-27.200167845	
19.4531	-28.564427607	
19.5703	-31.053525965	
19.6875	-35.232222894	
19.8047	-41.039285344	
19.9219	-41.900436052	
20.0391	-40.312700789	
20.1562	-43.500876975	
20.2734	-42.905721523	
20.3906	-44.308885559	
20.5078	-49.003003558	
20.6250	-51.163214244	
20.7422	-46.335159925	
20.8594	-47.186009236	
20.9766	-48.228043017	
21.0938	-46.837409015	
21.2109	-43.945126964	
21.3281	-44.433222989	
21.4453	-40.858614234	
21.5625	-40.332667693	
21.6797	-39.254394315	
21.7969	-36.544145992	
21.9141	-35.805352375	
22.0312	-31.277086251	
22.1484	-25.608278109	
22.2656	-19.067854349	
22.3828	-14.282543860	
22.5000	-7.348771485	
22.6172	-1.676680946	
22.7344	15.815326230	
22.8516	149.117550865	
22.9688	256.805877346	
23.0859	311.730790902	
23.2031	368.849072196	
23.3203	426.315457112	
23.4375	466.573095999	
23.5547	465.389301440	
23.6719	464.306037850	
23.7891	465.559646928	
23.9062	464.721775802	
24.0234	466.451392965	
24.1406	468.081690376	
24.2578	466.227221015	
24.3750	463.841657443	
24.4922	463.885406583	
24.6094	463.037894173	
24.7266	464.928554683	
24.8438	469.753556737	
24.9609	462.473273489	
25.0781	462.220419932	
25.1953	462.041062993	
25.3125	462.535772260	
25.4297	462.609365775	
25.5469	462.498709035	
25.6641	458.192979720	
25.7812	420.792067624	
25.8984	370.744020412	
26.0156	319.474873173	
26.1328	231.329391704	
26.2500	66.960463068	
26.3672	-0.181634027	
26.4844	-8.606977130	
26.6016	-13.312014246	
26.7188	-18.999354000	
26.8359	-20.983514367	
26.9531	-25.680720968	
27.0703	-33.710638221	
27.1875	-42.792030686	
27.3047	-46.926106400	
27.4219	-48.333267450	
27.5391	-44.884800838	
27.6562	-45.354698335	
27.7734	-48.875135432	
27.8906	-48.763340149	
28.0078	-50.401189495	
28.1250	-49.084167176	
28.2422	-50.078254951	
28.3594	-49.903294728	
28.4766	-51.084727415	
