x(um)
y(nm)

X	Y
0.0000	271.620145250	
0.1172	265.781912144	
0.2344	267.341619857	
0.3516	268.774052940	
0.4688	268.605064014	
0.5859	269.031945157	
0.7031	265.565322409	
0.8203	261.631509233	
0.9375	261.526666332	
1.0547	263.843941518	
1.1719	267.501306641	
1.2891	272.339074916	
1.4062	277.647618822	
1.5234	277.465064271	
1.6406	275.797461392	
1.7578	275.261449642	
1.8750	277.750959814	
1.9922	278.154076890	
2.1094	279.892269466	
2.2266	277.545174130	
2.3438	274.874054156	
2.4609	274.016270630	
2.5781	273.530548589	
2.6953	270.674911893	
2.8125	267.312647558	
2.9297	267.953986696	
3.0469	273.590939843	
3.1641	287.105112179	
3.2812	328.015209171	
3.3984	396.461538138	
3.5156	463.846405412	
3.6328	527.876251426	
3.7500	584.736567830	
3.8672	633.916269707	
3.9844	682.779408040	
4.1016	729.310857711	
4.2187	779.864272896	
4.3359	781.589578129	
4.4531	781.358041982	
4.5703	779.884282192	
4.6875	780.631651222	
4.8047	779.325862937	
4.9219	781.591031588	
5.0391	780.532234572	
5.1562	785.032436809	
5.2734	786.592096073	
5.3906	778.750147509	
5.5078	777.496441533	
5.6250	777.447992873	
5.7422	777.703608004	
5.8594	777.505840573	
5.9766	767.781564669	
6.0937	720.333369453	
6.2109	660.189542012	
6.3281	595.506801855	
6.4453	516.736644816	
6.5625	434.424793831	
6.6797	364.556133327	
6.7969	303.866604404	
6.9141	281.304329888	
7.0312	272.574341610	
7.1484	271.325528948	
7.2656	269.398192803	
7.3828	264.421158854	
7.5000	265.703594885	
7.6172	269.713181766	
7.7344	271.723655812	
7.8516	273.005583133	
7.9687	273.525195012	
8.0859	274.515630969	
8.2031	272.756363225	
8.3203	272.336337567	
8.4375	271.956064034	
8.5547	275.121360341	
8.6719	273.640478598	
8.7891	275.083643059	
8.9062	271.769803161	
9.0234	268.217280939	
9.1406	268.718167411	
9.2578	267.401986887	
9.3750	267.198647861	
9.4922	271.143168192	
9.6094	272.020258509	
9.7266	272.471145964	
9.8438	271.387543233	
9.9609	269.077341552	
10.0781	272.706243087	
10.1953	271.772080248	
10.3125	269.313601443	
10.4297	269.057332255	
10.5469	269.104448577	
10.6641	273.886646240	
10.7812	277.062140990	
10.8984	276.583419780	
11.0156	273.393656900	
11.1328	273.393196637	
11.2500	271.108357830	
11.3672	269.762841643	
11.4844	274.747603153	
11.6016	278.564243246	
11.7187	280.226395650	
11.8359	280.538429245	
11.9531	288.415260844	
12.0703	307.825320192	
12.1875	371.387612412	
12.3047	443.302187157	
12.4219	507.080245485	
12.5391	566.565752533	
12.6562	618.813901846	
12.7734	664.532237656	
12.8906	710.047089093	
13.0078	769.397666623	
13.1250	771.965881643	
13.2422	772.879090436	
13.3594	770.933053108	
13.4766	770.508642846	
13.5937	770.433838115	
13.7109	771.074184055	
13.8281	775.260002937	
13.9453	771.264684186	
14.0625	771.220450560	
14.1797	770.843713779	
14.2969	776.979058293	
14.4141	769.361233230	
14.5312	769.798773079	
14.6484	768.816137356	
14.7656	767.507345254	
14.8828	727.278824011	
15.0000	669.784169302	
15.1172	613.034218946	
15.2344	539.412991702	
15.3516	470.826888351	
15.4688	414.644223356	
15.5859	344.887091667	
15.7031	288.112069130	
15.8203	271.984939436	
15.9375	264.628155754	
16.0547	264.061476002	
16.1719	267.050152718	
16.2891	271.433084974	
16.4062	275.023954310	
16.5234	273.152891284	
16.6406	268.434984993	
16.7578	270.777162790	
16.8750	271.721887436	
16.9922	274.189135449	
17.1094	273.471005185	
17.2266	267.233094859	
17.3438	265.431022724	
17.4609	265.634046834	
17.5781	268.838198966	
17.6953	264.587531552	
17.8125	264.050671950	
17.9297	263.285425365	
18.0469	263.177869340	
18.1641	261.910282823	
18.2812	261.700548573	
18.3984	257.263281146	
18.5156	255.857422153	
18.6328	258.030998613	
18.7500	261.295905365	
18.8672	262.695659826	
18.9844	262.391959401	
19.1016	264.561877987	
19.2188	265.225866873	
19.3359	269.347224813	
19.4531	271.648899530	
19.5703	270.751485000	
19.6875	272.953307029	
19.8047	271.806042759	
19.9219	273.295257671	
20.0391	274.427260613	
20.1562	269.350616219	
20.2734	270.190788657	
20.3906	268.432998598	
20.5078	266.138760750	
20.6250	267.180285819	
20.7422	273.643094826	
20.8594	289.706126943	
20.9766	334.875151844	
21.0938	406.244049331	
21.2109	466.433806102	
21.3281	529.526800377	
21.4453	582.471592973	
21.5625	633.643067713	
21.6797	680.806384808	
21.7969	738.579473967	
21.9141	766.703339740	
22.0312	764.726828205	
22.1484	763.498218635	
22.2656	763.206218561	
22.3828	762.369364856	
22.5000	762.444654073	
22.6172	770.151188632	
22.7344	772.297803413	
22.8516	762.795422372	
22.9688	761.779647766	
23.0859	761.789773536	
23.2031	761.292254246	
23.3203	762.477696060	
23.4375	760.856361651	
23.5547	760.986252509	
23.6719	746.639053912	
23.7891	693.846390109	
23.9062	641.061817232	
24.0234	564.989717622	
24.1406	488.223445611	
24.2578	421.812541750	
24.3750	361.839447388	
24.4922	292.274463085	
24.6094	268.851885712	
24.7266	262.876276431	
24.8438	260.489453194	
24.9609	262.928794778	
25.0781	268.574832050	
25.1953	265.306243200	
25.3125	265.103558231	
25.4297	267.168585468	
25.5469	265.519998688	
25.6641	262.479603027	
25.7812	259.180951783	
25.8984	259.836534827	
26.0156	260.442700237	
26.1328	267.494112015	
26.2500	267.294770003	
26.3672	263.136130819	
26.4844	262.685873197	
26.6016	262.962054784	
26.7188	262.672840507	
26.8359	261.991337431	
26.9531	261.493818141	
27.0703	265.201182281	
27.1875	265.037958745	
27.3047	262.787930299	
27.4219	262.950402881	
27.5391	264.310938152	
27.6562	269.378813339	
27.7734	265.701535817	
27.8906	264.731181829	
28.0078	264.304882070	
28.1250	262.750600607	
28.2422	265.238318178	
28.3594	265.551902131	
28.4766	262.609469660	
28.5938	263.763032256	
28.7109	264.690412282	
28.8281	264.064043781	
28.9453	264.267576601	
29.0625	267.253661315	
29.1797	267.872689844	
29.2969	264.669773153	
29.4141	266.661473343	
29.5312	271.814327480	
29.6484	281.553525571	
29.7656	322.025574003	
29.8828	394.069724689	
