run_id,wavelength_um,reflectance_0
run_001,9.901e-06,0.00431913
run_001,9.906e-06,0.00423198
run_001,9.911e-06,0.00400392
run_001,9.916e-06,0.00360877
run_001,9.921e-06,0.00314119
run_001,9.926e-06,0.00273498
run_001,9.931e-06,0.00246481
run_001,9.936e-06,0.00230306
run_001,9.941e-06,0.00216077
run_001,9.946e-06,0.00196059
run_001,9.951e-06,0.00169526
run_001,9.956e-06,0.00141256
run_001,9.961e-06,0.00117537
run_001,9.966e-06,0.00100243
run_001,9.971e-06,0.000874322
run_001,9.976e-06,0.00075203
run_001,9.981e-06,0.000620543
run_001,9.986e-06,0.000488073
run_001,9.991e-06,0.000377783
run_001,9.996e-06,0.000300442
run_001,1.0001e-05,0.000255125
run_001,1.0006e-05,0.000233667
run_001,1.0011e-05,0.000231358
run_001,1.0016e-05,0.000247866
run_001,1.0021e-05,0.000286667
run_001,1.0026e-05,0.000356191
run_001,1.0031e-05,0.000466037
run_001,1.0036e-05,0.000618304
run_001,1.0041e-05,0.000800302
run_001,1.0046e-05,0.000997394
run_001,1.0051e-05,0.00121691
run_001,1.0056e-05,0.00149074
run_001,1.0061e-05,0.00184481
run_001,1.0066e-05,0.00225738
run_001,1.0071e-05,0.002683
run_001,1.0076e-05,0.00310735
run_001,1.0081e-05,0.00359423
run_001,1.0086e-05,0.00420449
run_001,1.0091e-05,0.0049261
run_001,1.0096e-05,0.00565722
run_001,1.0101e-05,0.00637495
run_001,1.0106e-05,0.00716404
run_001,1.0111e-05,0.00814814
run_001,1.0116e-05,0.00926533
run_001,1.0121e-05,0.010396
run_001,1.0126e-05,0.0115041
run_001,1.0131e-05,0.0127848
run_001,1.0136e-05,0.0143017
run_001,1.0141e-05,0.0159559
run_001,1.0146e-05,0.0175687
run_001,1.0151e-05,0.0193173
run_001,1.0156e-05,0.0213422
run_001,1.0161e-05,0.0236259
run_001,1.0166e-05,0.0259071
run_001,1.0171e-05,0.0283649
run_001,1.0176e-05,0.0311361
run_001,1.0181e-05,0.0342494
run_001,1.0186e-05,0.0374151
run_001,1.0191e-05,0.040915
run_001,1.0196e-05,0.0447873
run_001,1.0201e-05,0.0490646
run_001,1.0206e-05,0.0535189
run_001,1.0211e-05,0.0585878
run_001,1.0216e-05,0.0640528
run_001,1.0221e-05,0.0701056
run_001,1.0226e-05,0.0766241
run_001,1.0231e-05,0.0840553
run_001,1.0236e-05,0.0919945
run_001,1.0241e-05,0.101082
run_001,1.0246e-05,0.110932
run_001,1.0251e-05,0.12225
run_001,1.0256e-05,0.134607
run_001,1.0261e-05,0.148972
run_001,1.0266e-05,0.164769
run_001,1.0271e-05,0.18329
run_001,1.0276e-05,0.203853
run_001,1.0281e-05,0.227828
run_001,1.0286e-05,0.254574
run_001,1.0291e-05,0.284192
run_001,1.0296e-05,0.316407
run_001,1.0301e-05,0.34688
run_001,1.0306e-05,0.375903
run_001,1.0311e-05,0.395999
run_001,1.0316e-05,0.407261
run_001,1.0321e-05,0.406154
run_001,1.0326e-05,0.392782
run_001,1.0331e-05,0.3695
run_001,1.0336e-05,0.340735
run_001,1.0341e-05,0.315649
run_001,1.0346e-05,0.300423
run_001,1.0351e-05,0.297716
run_001,1.0356e-05,0.309636
run_001,1.0361e-05,0.335102
run_001,1.0366e-05,0.37771
run_001,1.0371e-05,0.43141
run_001,1.0376e-05,0.486053
run_001,1.0381e-05,0.538119
run_001,1.0386e-05,0.579768
run_001,1.0391e-05,0.615055
run_001,1.0396e-05,0.640262
run_001,1.0401e-05,0.659571
run_001,1.0406e-05,0.670595
run_001,1.0411e-05,0.675546
run_001,1.0416e-05,0.673608
run_001,1.0421e-05,0.666965
run_001,1.0426e-05,0.659859
run_001,1.0431e-05,0.659499
run_001,1.0436e-05,0.671202
run_001,1.0441e-05,0.693545
run_001,1.0446e-05,0.719923
run_001,1.0451e-05,0.745107
run_001,1.0456e-05,0.766592
run_001,1.0461e-05,0.784028
run_001,1.0466e-05,0.797978
run_001,1.0471e-05,0.808919
run_001,1.0476e-05,0.817524
run_001,1.0481e-05,0.823946
run_001,1.0486e-05,0.828531
run_001,1.0491e-05,0.831137
run_001,1.0496e-05,0.83188
run_001,1.0501e-05,0.83073
run_001,1.0506e-05,0.828311
run_001,1.0511e-05,0.825931
run_001,1.0516e-05,0.825517
run_001,1.0521e-05,0.828399
run_001,1.0526e-05,0.834489
run_001,1.0531e-05,0.842304
run_001,1.0536e-05,0.850211
run_001,1.0541e-05,0.857206
run_001,1.0546e-05,0.863123
run_001,1.0551e-05,0.868195
run_001,1.0556e-05,0.872597
run_001,1.0561e-05,0.87649
run_001,1.0566e-05,0.879923
run_001,1.0571e-05,0.88309
run_001,1.0576e-05,0.886002
run_001,1.0581e-05,0.88868
run_001,1.0586e-05,0.89087
run_001,1.0591e-05,0.892447
run_001,1.0596e-05,0.893347
run_001,1.0601e-05,0.89367
run_001,1.0606e-05,0.893416
run_001,1.0611e-05,0.892412
run_001,1.0616e-05,0.890453
run_001,1.0621e-05,0.887647
run_001,1.0626e-05,0.884669
run_001,1.0631e-05,0.882507
run_001,1.0636e-05,0.881329
run_001,1.0641e-05,0.879953
run_001,1.0646e-05,0.876798
run_001,1.0651e-05,0.870755
run_001,1.0656e-05,0.861344
run_001,1.0661e-05,0.849217
run_001,1.0666e-05,0.837001
run_001,1.0671e-05,0.829395
run_001,1.0676e-05,0.829795
run_001,1.0681e-05,0.836906
run_001,1.0686e-05,0.847233
run_001,1.0691e-05,0.859141
run_001,1.0696e-05,0.871926
run_001,1.0701e-05,0.884358
run_001,1.0706e-05,0.895084
run_001,1.0711e-05,0.903742
run_001,1.0716e-05,0.910493
run_001,1.0721e-05,0.915745
run_001,1.0726e-05,0.919859
run_001,1.0731e-05,0.923116
run_001,1.0736e-05,0.925733
run_001,1.0741e-05,0.927844
run_001,1.0746e-05,0.929569
run_001,1.0751e-05,0.930963
run_001,1.0756e-05,0.932092
run_001,1.0761e-05,0.932978
run_001,1.0766e-05,0.933648
run_001,1.0771e-05,0.934109
run_001,1.0776e-05,0.934359
run_001,1.0781e-05,0.934392
run_001,1.0786e-05,0.934183
run_001,1.0791e-05,0.933712
run_001,1.0796e-05,0.932943
run_001,1.0801e-05,0.931863
run_001,1.0806e-05,0.930447
run_001,1.0811e-05,0.928642
run_001,1.0816e-05,0.926312
run_001,1.0821e-05,0.923235
run_001,1.0826e-05,0.919111
run_001,1.0831e-05,0.913565
run_001,1.0836e-05,0.906094
run_001,1.0841e-05,0.896026
run_001,1.0846e-05,0.882487
run_001,1.0851e-05,0.864536
run_001,1.0856e-05,0.841642
run_001,1.0861e-05,0.814972
run_001,1.0866e-05,0.789228
run_001,1.0871e-05,0.772831
run_001,1.0876e-05,0.77338
run_001,1.0881e-05,0.790966
run_001,1.0886e-05,0.817956
run_001,1.0891e-05,0.845718
run_001,1.0896e-05,0.869546
run_001,1.0901e-05,0.888364
run_001,1.0906e-05,0.902764
run_001,1.0911e-05,0.913725
run_001,1.0916e-05,0.922134
run_001,1.0921e-05,0.92867
run_001,1.0926e-05,0.933833
run_001,1.0931e-05,0.937976
run_001,1.0936e-05,0.941354
run_001,1.0941e-05,0.944148
run_001,1.0946e-05,0.946492
run_001,1.0951e-05,0.948484
run_001,1.0956e-05,0.950195
run_001,1.0961e-05,0.951683
run_001,1.0966e-05,0.952989
run_001,1.0971e-05,0.954146
run_001,1.0976e-05,0.955179
run_001,1.0981e-05,0.956109
run_001,1.0986e-05,0.956952
run_001,1.0991e-05,0.95772
run_001,1.0996e-05,0.958426
run_001,1.1001e-05,0.959076
run_001,1.1006e-05,0.959678
run_001,1.1011e-05,0.960238
run_001,1.1016e-05,0.960761
run_001,1.1021e-05,0.961252
run_001,1.1026e-05,0.961712
run_001,1.1031e-05,0.962147
run_001,1.1036e-05,0.962556
run_001,1.1041e-05,0.962944
run_001,1.1046e-05,0.963311
run_001,1.1051e-05,0.963659
run_001,1.1056e-05,0.96399
run_001,1.1061e-05,0.964304
run_001,1.1066e-05,0.964603
run_001,1.1071e-05,0.964885
run_001,1.1076e-05,0.965154
run_001,1.1081e-05,0.965408
run_001,1.1086e-05,0.965648
run_001,1.1091e-05,0.965876
run_001,1.1096e-05,0.966088
run_001,1.1101e-05,0.966287
run_001,1.1106e-05,0.966472
run_001,1.1111e-05,0.966642
run_001,1.1116e-05,0.966798
run_001,1.1121e-05,0.966937
run_001,1.1126e-05,0.967062
run_001,1.1131e-05,0.967166
run_001,1.1136e-05,0.967254
run_001,1.1141e-05,0.96732
run_001,1.1146e-05,0.967364
run_001,1.1151e-05,0.967385
run_001,1.1156e-05,0.967374
run_001,1.1161e-05,0.967336
run_001,1.1166e-05,0.967257
run_001,1.1171e-05,0.96714
run_001,1.1176e-05,0.966975
run_001,1.1181e-05,0.966745
run_001,1.1186e-05,0.966461
run_001,1.1191e-05,0.96606
run_001,1.1196e-05,0.965573
run_001,1.1201e-05,0.964924
run_001,1.1206e-05,0.964077
run_001,1.1211e-05,0.96304
run_001,1.1216e-05,0.961431
run_001,1.1221e-05,0.959498
run_001,1.1226e-05,0.956355
run_001,1.1231e-05,0.952093
run_001,1.1236e-05,0.946673
run_001,1.1241e-05,0.939962
run_001,1.1246e-05,0.933779
run_001,1.1251e-05,0.935733
run_001,1.1256e-05,0.939448
run_001,1.1261e-05,0.941558
run_001,1.1266e-05,0.941334
run_001,1.1271e-05,0.941476
run_001,1.1276e-05,0.936118
run_001,1.1281e-05,0.928201
run_001,1.1286e-05,0.915868
run_001,1.1291e-05,0.89858
run_001,1.1296e-05,0.879861
run_001,1.1301e-05,0.879205
run_001,1.1306e-05,0.884051
run_001,1.1311e-05,0.892278
run_001,1.1316e-05,0.903429
run_001,1.1321e-05,0.914099
run_001,1.1326e-05,0.909187
run_001,1.1331e-05,0.904408
run_001,1.1336e-05,0.894468
run_001,1.1341e-05,0.875247
run_001,1.1346e-05,0.846773
run_001,1.1351e-05,0.810448
run_001,1.1356e-05,0.764894
run_001,1.1361e-05,0.724667
run_001,1.1366e-05,0.709144
run_001,1.1371e-05,0.727131
run_001,1.1376e-05,0.76756
run_001,1.1381e-05,0.811655
run_001,1.1386e-05,0.848946
run_001,1.1391e-05,0.87765
run_001,1.1396e-05,0.899267
run_001,1.1401e-05,0.915118
run_001,1.1406e-05,0.927152
run_001,1.1411e-05,0.9363
run_001,1.1416e-05,0.943393
run_001,1.1421e-05,0.949016
run_001,1.1426e-05,0.953489
run_001,1.1431e-05,0.957143
run_001,1.1436e-05,0.960149
run_001,1.1441e-05,0.962654
run_001,1.1446e-05,0.964772
run_001,1.1451e-05,0.966569
run_001,1.1456e-05,0.968116
run_001,1.1461e-05,0.969456
run_001,1.1466e-05,0.970626
