run_id,wavelength_um,reflectance_0
run_006,9.901e-06,0.00405905
run_006,9.906e-06,0.00399221
run_006,9.911e-06,0.00380625
run_006,9.916e-06,0.00345456
run_006,9.921e-06,0.00301384
run_006,9.926e-06,0.00261379
run_006,9.931e-06,0.0023393
run_006,9.936e-06,0.00217772
run_006,9.941e-06,0.00204819
run_006,9.946e-06,0.0018703
run_006,9.951e-06,0.00162678
run_006,9.956e-06,0.0013579
run_006,9.961e-06,0.001126
run_006,9.966e-06,0.000955286
run_006,9.971e-06,0.000831771
run_006,9.976e-06,0.000717845
run_006,9.981e-06,0.000595702
run_006,9.986e-06,0.000470416
run_006,9.991e-06,0.000363979
run_006,9.996e-06,0.00028836
run_006,1.0001e-05,0.000244157
run_006,1.0006e-05,0.000223835
run_006,1.0011e-05,0.000222386
run_006,1.0016e-05,0.000238868
run_006,1.0021e-05,0.000276072
run_006,1.0026e-05,0.000341876
run_006,1.0031e-05,0.000446168
run_006,1.0036e-05,0.000592435
run_006,1.0041e-05,0.000769266
run_006,1.0046e-05,0.000961137
run_006,1.0051e-05,0.0011724
run_006,1.0056e-05,0.00143328
run_006,1.0061e-05,0.0017723
run_006,1.0066e-05,0.00217253
run_006,1.0071e-05,0.00258904
run_006,1.0076e-05,0.00300174
run_006,1.0081e-05,0.00346865
run_006,1.0086e-05,0.00405383
run_006,1.0091e-05,0.00475429
run_006,1.0096e-05,0.00547144
run_006,1.0101e-05,0.00617289
run_006,1.0106e-05,0.00693411
run_006,1.0111e-05,0.00788318
run_006,1.0116e-05,0.00897276
run_006,1.0121e-05,0.0100846
run_006,1.0126e-05,0.0111682
run_006,1.0131e-05,0.0124093
run_006,1.0136e-05,0.0138852
run_006,1.0141e-05,0.0155103
run_006,1.0146e-05,0.0170978
run_006,1.0151e-05,0.0188065
run_006,1.0156e-05,0.0207837
run_006,1.0161e-05,0.0230298
run_006,1.0166e-05,0.0252815
run_006,1.0171e-05,0.0276978
run_006,1.0176e-05,0.0304204
run_006,1.0181e-05,0.033495
run_006,1.0186e-05,0.0366291
run_006,1.0191e-05,0.0400872
run_006,1.0196e-05,0.0439184
run_006,1.0201e-05,0.0481666
run_006,1.0206e-05,0.0525944
run_006,1.0211e-05,0.057635
run_006,1.0216e-05,0.0630849
run_006,1.0221e-05,0.0691345
run_006,1.0226e-05,0.0756575
run_006,1.0231e-05,0.0831135
run_006,1.0236e-05,0.0910999
run_006,1.0241e-05,0.100264
run_006,1.0246e-05,0.110226
run_006,1.0251e-05,0.121714
run_006,1.0256e-05,0.134297
run_006,1.0261e-05,0.148994
run_006,1.0266e-05,0.165225
run_006,1.0271e-05,0.184373
run_006,1.0276e-05,0.205755
run_006,1.0281e-05,0.230913
run_006,1.0286e-05,0.259215
run_006,1.0291e-05,0.291042
run_006,1.0296e-05,0.326155
run_006,1.0301e-05,0.360429
run_006,1.0306e-05,0.39426
run_006,1.0311e-05,0.419951
run_006,1.0316e-05,0.437725
run_006,1.0321e-05,0.443685
run_006,1.0326e-05,0.438043
run_006,1.0331e-05,0.423471
run_006,1.0336e-05,0.405192
run_006,1.0341e-05,0.394412
run_006,1.0346e-05,0.398908
run_006,1.0351e-05,0.42156
run_006,1.0356e-05,0.460206
run_006,1.0361e-05,0.504872
run_006,1.0366e-05,0.550813
run_006,1.0371e-05,0.593286
run_006,1.0376e-05,0.628021
run_006,1.0381e-05,0.658602
run_006,1.0386e-05,0.681779
run_006,1.0391e-05,0.702246
run_006,1.0396e-05,0.717594
