tlw,blw,h,s
1.2669,4.7719,0.3148,2.2044
0.8049,4.2139,0.4596,3.9027
0.3041,3.1507,0.2406,3.3466
2.3454,4.7269,0.6228,4.2708
0.983,3.662,0.4859,4.9945
1.2012,4.4996,0.3932,2.8984
0.2933,3.2878,0.5602,3.8296
1.8887,4.3008,0.2299,2.553
0.5145,4.5179,0.5904,3.1178
0.4771,4.9079,0.2008,4.7692
1.0695,3.036,0.5163,2.7145
2.2729,4.0214,0.3641,3.6857
1.8426,4.1507,0.2699,4.0811
1.681,3.7052,0.5928,2.0319
0.7727,2.6707,0.3442,4.4616
2.7618,4.9767,0.4295,3.1382
0.669,4.9011,0.1771,3.7743
0.8681,4.4134,0.5668,2.4251
1.7398,3.4199,0.3701,4.8704
2.2007,4.2275,0.5222,2.8423
1.1724,3.7671,0.6164,3.4252
1.2904,3.9259,0.2936,4.3753
0.5602,2.3398,0.4235,2.305
3.085,4.8132,0.3381,3.9823
1.5425,4.4114,0.4525,4.5486
0.3894,3.6083,0.3079,3.2462
0.8795,2.791,0.6455,4.19
1.929,4.5946,0.2633,2.115
0.4075,4.0229,0.4001,2.651
1.6164,4.632,0.493,3.5543
0.6835,3.0335,0.2072,2.9854
2.5447,4.6848,0.5375,4.7096
0.2543,4.6425,0.5082,4.0526
0.7357,4.7733,0.3561,2.3285
1.3172,3.3099,0.5825,4.3987
2.3952,4.1679,0.1927,3.4955
1.595,3.5018,0.3519,2.772
1.1526,3.5586,0.4373,4.847
0.4355,2.7226,0.2777,2.4017
2.8098,4.4533,0.6005,3.7041
1.1209,4.5683,0.2476,4.6393
0.6066,3.9735,0.6299,2.962
0.4627,3.0029,0.3219,3.5308
2.1121,4.9554,0.4666,2.5808
0.8244,4.185,0.5533,2.1853
1.8407,4.2712,0.2231,4.2134
0.9201,3.4227,0.4792,3.2696
2.1491,4.859,0.3863,4.6188
1.6884,4.9343,0.6387,2.4827
1.0289,3.8485,0.2565,3.8061
0.7208,3.3696,0.4458,2.8749
2.5336,4.366,0.301,4.9241
0.5664,3.8193,0.2142,4.3412
1.418,4.8606,0.5445,3.37
0.5232,2.8988,0.4072,3.9262
2.2846,4.4695,0.5,2.2747
0.9294,4.2523,0.3779,3.2085
0.3396,4.5482,0.5301,4.4851
1.2471,3.1467,0.185,2.0554
1.9983,3.6543,0.5746,4.1514
1.4198,3.8916,0.4154,3.6153
1.5492,4.0723,0.3301,2.6911
0.3578,2.5604,0.6084,4.7458
3.1515,4.7297,0.2855,3.0474
1.0442,4.7623,0.5963,4.5205
0.8154,4.4668,0.2659,3.1745
1.5329,3.252,0.4329,4.1158
1.9531,3.9008,0.3402,2.0895
1.3566,3.628,0.2043,2.6784
1.238,4.2013,0.5865,3.6266
0.2937,2.0509,0.3675,3.0604
2.7308,4.8067,0.5123,4.7344
1.8021,4.4596,0.3972,3.7932
0.5403,3.7659,0.4825,2.4941
0.8352,3.1174,0.2338,4.9369
2.1848,4.2841,0.5567,2.8637
0.5026,4.071,0.4635,3.4056
1.7674,4.9893,0.3113,4.307
1.0372,2.8408,0.6267,2.2393
2.4248,4.9208,0.2371,3.9602
1.2603,4.8205,0.4894,2.9498
0.9555,3.9148,0.404,4.65
0.603,3.4776,0.5339,2.5927
2.6008,4.8973,0.2111,3.5203
0.735,3.7105,0.3044,4.2498
1.3519,4.3761,0.4565,2.1504
0.6475,3.3408,0.2598,4.5827
2.2636,4.5365,0.6495,3.3043
0.3942,4.3787,0.2897,2.3646
0.4248,4.7148,0.6199,4.0179
1.1165,3.1134,0.3341,3.4592
1.9194,4.1088,0.427,4.4336
1.5067,4.0112,0.5629,4.8349
1.629,3.6647,0.1806,2.7825
0.7211,2.6404,0.5183,3.7162
3.0218,4.6501,0.3736,2.3909
1.6561,4.6984,0.2266,3.234
0.6751,3.5258,0.5494,4.5592
0.9941,3.2301,0.3898,2.127
2.4816,4.5127,0.4752,4.1794
0.3439,3.5832,0.6334,3.5906
1.0645,4.7607,0.2437,2.6162
0.3724,2.9754,0.4701,4.6735
2.685,4.4212,0.318,3.0202
0.7839,4.5792,0.4412,2.4613
0.5948,4.3319,0.3484,3.7397
1.2996,3.4804,0.6044,2.8059
2.1117,3.7528,0.2742,4.9053
1.1091,4.2184,0.3601,4.3633
1.8045,4.055,0.5048,3.4357
0.5541,2.6089,0.1967,3.9945
3.3576,4.9415,0.579,2.2943
0.6543,4.969,0.3267,4.8046
0.9914,4.8496,0.4194,3.0838
1.2086,3.358,0.2821,3.65
2.3757,4.1196,0.6124,2.7486
1.7544,3.8282,0.5266,2.0192
1.4084,3.8112,0.3818,4.0924
0.4878,2.4002,0.571,3.1511
2.8759,4.5022,0.1889,4.4502
1.4064,4.3327,0.5406,3.8899
0.2524,4.1551,0.2177,2.2159
