tlw,blw,h,s
1.267,4.772,0.315,2.204
0.805,4.214,0.46,3.903
0.304,3.151,0.241,3.347
2.345,4.727,0.623,4.271
0.983,3.662,0.486,4.994
1.201,4.5,0.393,2.898
0.293,3.288,0.56,3.83
1.889,4.301,0.23,2.553
0.514,4.518,0.59,3.118
0.477,4.908,0.201,4.769
1.07,3.036,0.516,2.714
2.273,4.021,0.364,3.686
1.843,4.151,0.27,4.081
1.681,3.705,0.593,2.032
0.773,2.671,0.344,4.462
2.762,4.977,0.43,3.138
0.669,4.901,0.177,3.774
0.868,4.413,0.567,2.425
1.74,3.42,0.37,4.87
2.201,4.228,0.522,2.842
1.172,3.767,0.616,3.425
1.29,3.926,0.294,4.375
0.56,2.34,0.424,2.305
3.085,4.813,0.338,3.982
1.542,4.411,0.452,4.549
0.389,3.608,0.308,3.246
0.88,2.791,0.646,4.19
1.929,4.595,0.263,2.115
0.408,4.023,0.4,2.651
1.616,4.632,0.493,3.554
0.684,3.034,0.207,2.985
2.545,4.685,0.538,4.71
0.254,4.642,0.508,4.053
0.736,4.773,0.356,2.328
1.317,3.31,0.582,4.399
2.395,4.168,0.193,3.496
1.595,3.502,0.352,2.772
1.153,3.559,0.437,4.847
0.436,2.723,0.278,2.402
2.81,4.453,0.6,3.704
1.121,4.568,0.248,4.639
0.607,3.974,0.63,2.962
0.463,3.003,0.322,3.531
2.112,4.955,0.467,2.581
0.824,4.185,0.553,2.185
1.841,4.271,0.223,4.213
0.92,3.423,0.479,3.27
2.149,4.859,0.386,4.619
1.688,4.934,0.639,2.483
1.029,3.848,0.256,3.806
0.721,3.37,0.446,2.875
2.534,4.366,0.301,4.924
0.566,3.819,0.214,4.341
1.418,4.861,0.544,3.37
0.523,2.899,0.407,3.926
2.285,4.47,0.5,2.275
0.929,4.252,0.378,3.208
0.34,4.548,0.53,4.485
1.247,3.147,0.185,2.055
1.998,3.654,0.575,4.151
1.42,3.892,0.415,3.615
1.549,4.072,0.33,2.691
0.358,2.56,0.608,4.746
3.152,4.73,0.286,3.047
1.044,4.762,0.596,4.52
0.815,4.467,0.266,3.174
1.533,3.252,0.433,4.116
1.953,3.901,0.34,2.09
1.357,3.628,0.204,2.678
1.238,4.201,0.586,3.627
0.294,2.051,0.368,3.06
2.731,4.807,0.512,4.734
1.802,4.46,0.397,3.793
0.54,3.766,0.482,2.494
0.835,3.117,0.234,4.937
2.185,4.284,0.557,2.864
0.503,4.071,0.464,3.406
1.767,4.989,0.311,4.307
1.037,2.841,0.627,2.239
2.425,4.921,0.237,3.96
1.26,4.82,0.489,2.95
0.956,3.915,0.404,4.65
0.603,3.478,0.534,2.593
2.601,4.897,0.211,3.52
0.735,3.71,0.304,4.25
1.352,4.376,0.456,2.15
0.648,3.341,0.26,4.583
2.264,4.536,0.65,3.304
0.394,4.379,0.29,2.365
0.425,4.715,0.62,4.018
1.116,3.113,0.334,3.459
1.919,4.109,0.427,4.434
1.507,4.011,0.563,4.835
1.629,3.665,0.181,2.782
0.721,2.64,0.518,3.716
3.022,4.65,0.374,2.391
1.656,4.698,0.227,3.234
0.675,3.526,0.549,4.559
0.994,3.23,0.39,2.127
2.482,4.513,0.475,4.179
0.344,3.583,0.633,3.591
1.064,4.761,0.244,2.616
0.372,2.975,0.47,4.674
2.685,4.421,0.318,3.02
0.784,4.579,0.441,2.461
0.595,4.332,0.348,3.74
1.3,3.48,0.604,2.806
2.112,3.753,0.274,4.905
1.109,4.218,0.36,4.363
1.804,4.055,0.505,3.436
0.554,2.609,0.197,3.994
3.358,4.942,0.579,2.294
0.654,4.969,0.327,4.805
0.991,4.85,0.419,3.084
1.209,3.358,0.282,3.65
2.376,4.12,0.612,2.749
1.754,3.828,0.527,2.019
1.408,3.811,0.382,4.092
0.488,2.4,0.571,3.151
2.876,4.502,0.189,4.45
1.406,4.333,0.541,3.89
0.252,4.155,0.218,2.216
0.444,2.864,0.496,4.284
2.06,4.669,0.411,3.335
0.894,3.949,0.253,2.934
1.487,4.604,0.642,4.96
0.77,3.206,0.297,2.518
2.003,4.81,0.449,3.864
0.477,4.797,0.258,2.724
0.778,4.966,0.648,3.675
1.135,3.125,0.302,3.106
2.373,3.984,0.454,4.783
1.777,3.686,0.532,4.475
1.175,3.743,0.209,3.126
0.267,2.517,0.488,4.07
2.699,4.325,0.402,2.041
1.331,4.495,0.517,3.357
0.502,4.178,0.372,4.261
0.268,3.059,0.561,2.191
2.248,4.783,0.179,3.915
1.019,4.13,0.332,3.841
1.704,4.443,0.425,2.54
0.999,3.228,0.288,4.985
1.928,4.956,0.618,2.909
1.481,4.879,0.366,4.202
0.892,3.641,0.511,2.105
0.918,3.442,0.203,4.534
2.639,4.535,0.585,3.259
0.369,3.745,0.431,2.998
1.314,4.691,0.338,4.696
0.584,3.09,0.595,2.641
2.509,4.595,0.264,3.566
0.709,4.438,0.625,4.88
0.361,4.353,0.235,2.831
1.079,3.317,0.462,3.762
1.957,3.835,0.309,2.439
1.235,4.047,0.232,2.319
1.591,3.891,0.555,3.97
0.578,2.376,0.395,3.414
3.184,4.874,0.48,4.385
1.084,4.663,0.569,3.542
0.713,4.031,0.187,2.571
0.529,3.289,0.525,4.625
2.418,4.918,0.38,2.975
0.758,3.525,0.28,3.282
1.128,4.309,0.61,4.605
0.411,3.457,0.325,2.175
2.086,4.386,0.417,4.225
0.319,4.544,0.295,4.409
0.633,4.737,0.448,3.484
1.282,3.027,0.251,4.04
2.086,4.224,0.64,2.342
1.631,4.16,0.494,2.416
1.868,3.502,0.409,3.691
0.948,2.663,0.539,2.76
2.947,4.834,0.216,4.857
0.868,4.911,0.468,2.065
1.055,4.581,0.316,4.141
1.531,3.393,0.632,3.197
1.978,4.084,0.242,4.498
1.381,3.793,0.388,4.759
1.446,4.132,0.474,3.036
0.419,2.278,0.225,3.604
2.897,4.645,0.548,2.7
1.729,4.274,0.195,2.886
0.316,3.788,0.577,4.915
0.658,2.899,0.358,2.469
2.022,4.4,0.503,3.818
0.629,3.914,0.602,3.938
1.525,4.826,0.272,2.261
0.833,2.861,0.439,4.332
2.35,4.752,0.346,3.381
1.868,4.737,0.422,4.949
0.843,3.729,0.336,2.85
0.798,3.21,0.615,3.784
2.282,4.342,0.292,2.505
0.54,3.604,0.368,2.25
1.264,4.932,0.52,3.951
0.332,2.78,0.175,3.392
2.465,4.266,0.565,4.319
1.008,4.482,0.205,4.129
0.515,4.523,0.536,2.078
1.436,3.311,0.398,4.51
1.914,3.809,0.491,3.184
1.292,4.092,0.644,3.07
1.745,4.237,0.261,4.724
0.329,2.706,0.45,2.666
3.23,4.942,0.306,3.64
0.433,4.843,0.558,3.473
0.931,4.656,0.228,4.421
1.395,3.455,0.484,2.353
2.57,4.192,0.391,4.028
1.568,3.732,0.239,3.726
1.328,3.632,0.621,2.379
0.624,2.604,0.313,4.822
3.021,4.618,0.458,2.796
1.198,4.353,0.342,2.605
0.453,3.949,0.428,3.506
0.644,2.826,0.268,2.94
1.891,4.836,0.591,4.662
0.694,3.988,0.514,4.594
1.655,4.437,0.362,3.294
0.747,3.399,0.589,4.236
2.226,4.626,0.199,2.163
0.85,4.678,0.406,2.82
0.698,4.294,0.498,4.893
1.605,3.446,0.212,2.45
2.174,4.039,0.543,3.75
1.146,3.56,0.444,4.005
1.089,3.997,0.299,2.283
0.397,2.22,0.637,4.351
