tlw,blw,h,s
0.805,2.464,0.46,3.903
0.304,1.401,0.241,3.347
2.345,2.977,0.623,4.271
0.983,1.912,0.486,4.994
1.201,2.75,0.393,2.898
0.293,1.538,0.56,3.83
1.889,2.551,0.23,2.553
1.07,1.286,0.516,2.714
1.843,2.401,0.27,4.081
1.681,1.955,0.593,2.032
0.773,0.921,0.344,4.462
2.762,3.227,0.43,3.138
2.201,2.478,0.522,2.842
1.172,2.017,0.616,3.425
1.29,2.176,0.294,4.375
0.56,0.59,0.424,2.305
1.542,2.661,0.452,4.549
0.389,1.858,0.308,3.246
0.88,1.041,0.646,4.19
1.929,2.845,0.263,2.115
1.616,2.882,0.493,3.554
0.684,1.284,0.207,2.985
2.545,2.935,0.538,4.71
1.317,1.56,0.582,4.399
2.395,2.418,0.193,3.496
1.595,1.752,0.352,2.772
1.153,1.809,0.437,4.847
0.436,0.973,0.278,2.402
1.121,2.818,0.248,4.639
0.607,2.224,0.63,2.962
0.463,1.253,0.322,3.531
2.112,3.205,0.467,2.581
0.824,2.435,0.553,2.185
1.841,2.521,0.223,4.213
0.92,1.673,0.479,3.27
2.149,3.109,0.386,4.619
1.688,3.184,0.639,2.483
1.029,2.098,0.256,3.806
0.721,1.62,0.446,2.875
2.534,2.616,0.301,4.924
0.566,2.069,0.214,4.341
1.418,3.111,0.544,3.37
0.523,1.149,0.407,3.926
2.285,2.72,0.5,2.275
0.929,2.502,0.378,3.208
1.247,1.397,0.185,2.055
1.42,2.142,0.415,3.615
1.549,2.322,0.33,2.691
0.358,0.81,0.608,4.746
1.953,2.151,0.34,2.09
1.357,1.878,0.204,2.678
1.238,2.451,0.586,3.627
0.294,0.301,0.368,3.06
2.731,3.057,0.512,4.734
1.802,2.71,0.397,3.793
0.54,2.016,0.482,2.494
0.835,1.367,0.234,4.937
2.185,2.534,0.557,2.864
1.767,3.239,0.311,4.307
1.037,1.091,0.627,2.239
2.425,3.171,0.237,3.96
0.956,2.165,0.404,4.65
0.603,1.728,0.534,2.593
2.601,3.147,0.211,3.52
0.735,1.961,0.304,4.25
1.352,2.626,0.456,2.15
0.648,1.591,0.26,4.583
2.264,2.786,0.65,3.304
1.116,1.363,0.334,3.459
1.919,2.359,0.427,4.434
1.507,2.261,0.563,4.835
1.629,1.915,0.181,2.782
0.721,0.89,0.518,3.716
1.656,2.948,0.227,3.234
0.675,1.776,0.549,4.559
0.994,1.48,0.39,2.127
2.482,2.763,0.475,4.179
0.344,1.833,0.633,3.591
0.372,1.225,0.47,4.674
1.3,1.73,0.604,2.806
1.109,2.468,0.36,4.363
1.804,2.305,0.505,3.436
0.554,0.859,0.197,3.994
1.209,1.608,0.282,3.65
1.754,2.078,0.527,2.019
1.408,2.061,0.382,4.092
0.488,0.65,0.571,3.151
1.406,2.583,0.541,3.89
0.444,1.114,0.496,4.284
2.06,2.919,0.411,3.335
0.894,2.199,0.253,2.934
1.487,2.854,0.642,4.96
0.77,1.456,0.297,2.518
2.003,3.06,0.449,3.864
1.135,1.375,0.302,3.106
1.777,1.936,0.532,4.475
1.175,1.993,0.209,3.126
0.267,0.767,0.488,4.07
1.331,2.745,0.517,3.357
0.268,1.309,0.561,2.191
2.248,3.033,0.179,3.915
1.019,2.38,0.332,3.841
1.704,2.693,0.425,2.54
0.999,1.478,0.288,4.985
1.928,3.206,0.618,2.909
1.481,3.129,0.366,4.202
0.892,1.891,0.511,2.105
0.918,1.692,0.203,4.534
2.639,2.785,0.585,3.259
0.369,1.995,0.431,2.998
1.314,2.941,0.338,4.696
0.584,1.34,0.595,2.641
2.509,2.845,0.264,3.566
1.079,1.567,0.462,3.762
1.957,2.085,0.309,2.439
1.235,2.297,0.232,2.319
1.591,2.141,0.555,3.97
0.578,0.626,0.395,3.414
0.713,2.281,0.187,2.571
0.529,1.539,0.525,4.625
2.418,3.168,0.38,2.975
0.758,1.775,0.28,3.282
1.128,2.559,0.61,4.605
0.411,1.707,0.325,2.175
2.086,2.636,0.417,4.225
2.086,2.474,0.64,2.342
1.631,2.41,0.494,2.416
2.947,3.084,0.216,4.857
1.531,1.643,0.632,3.197
1.978,2.334,0.242,4.498
1.381,2.043,0.388,4.759
1.446,2.382,0.474,3.036
0.419,0.528,0.225,3.604
