hidden_dim,n_layers,lr,batch_size,weight_decay,alpha,wl_mean_rmse,Q_mean_rmse,wl_std_rmse,Q_std_rmse
64,2,0.0001,32,0.0,1.0,0.11662499,75.986755,0.017239202,16.79703
64,2,0.0001,32,0.0,2.0,0.12093242,78.46377,0.017314453,17.678968
64,2,0.0001,32,0.0,3.0,0.12771447,80.17047,0.01645373,17.857794
64,2,0.0001,32,0.0,4.0,0.13198516,81.74931,0.017803472,16.987885
64,2,0.0001,32,0.0001,1.0,0.11660471,77.28148,0.016372114,17.291847
64,2,0.0001,32,0.0001,2.0,0.12312879,77.72046,0.01714921,18.970387
64,2,0.0001,32,0.0001,3.0,0.1269861,79.838486,0.01696886,16.73957
64,2,0.0001,32,0.0001,4.0,0.13165098,81.42442,0.01706731,16.88146
64,2,0.0001,32,0.001,1.0,0.116037704,76.60007,0.016433364,17.325893
64,2,0.0001,32,0.001,2.0,0.12210935,77.4361,0.016825914,18.528242
64,2,0.0001,32,0.001,3.0,0.1271812,80.0197,0.01599172,17.008478
64,2,0.0001,32,0.001,4.0,0.13149282,81.80107,0.016462076,17.241522
64,2,0.0001,32,0.01,1.0,0.11135437,74.27485,0.015677018,16.43149
64,2,0.0001,32,0.01,2.0,0.115958214,77.2429,0.016523348,17.236956
64,2,0.0001,32,0.01,3.0,0.12120958,79.7286,0.015757572,17.361134
64,2,0.0001,32,0.01,4.0,0.12894824,81.833534,0.015348145,17.871698
64,2,0.0001,64,0.0,1.0,0.12721488,79.18098,0.012641757,18.5626
64,2,0.0001,64,0.0,2.0,0.1326671,81.9366,0.015152664,20.392372
64,2,0.0001,64,0.0,3.0,0.13836558,84.74325,0.01762431,20.708574
64,2,0.0001,64,0.0,4.0,0.14567006,87.114944,0.01984204,21.695896
64,2,0.0001,64,0.0001,1.0,0.12629205,78.73277,0.011920606,18.568163
64,2,0.0001,64,0.0001,2.0,0.13107124,81.49477,0.01499973,19.882324
64,2,0.0001,64,0.0001,3.0,0.13632898,84.16972,0.01746744,20.570356
64,2,0.0001,64,0.0001,4.0,0.14323926,86.67827,0.018550187,21.298733
64,2,0.0001,64,0.001,1.0,0.125046,78.741585,0.01214097,18.104155
64,2,0.0001,64,0.001,2.0,0.13045746,81.43186,0.014872246,19.787697
64,2,0.0001,64,0.001,3.0,0.13513987,84.18587,0.017436208,20.527306
