x(um)
y(nm)

X	Y
0.0000	-508.141513384	
0.0977	-508.641358209	
0.1953	-507.971943073	
0.2930	-507.283536063	
0.3906	-504.118675794	
0.4883	-501.836259419	
0.5859	-504.446576325	
0.6836	-508.123684277	
0.7812	-505.742287289	
0.8789	-506.313206299	
0.9766	-504.488339070	
1.0742	-504.904464611	
1.1719	-507.105487237	
1.2695	-502.498310359	
1.3672	-501.239129684	
1.4648	-498.478718829	
1.5625	-494.431317769	
1.6602	-490.209501533	
1.7578	-484.585241934	
1.8555	-475.508143231	
1.9531	-466.878225660	
2.0508	-456.981666321	
2.1484	-447.316497783	
2.2461	-431.867334413	
2.3438	-410.631850677	
2.4414	-393.252468467	
2.5391	-377.175870725	
2.6367	-348.230218781	
2.7344	-314.389822936	
2.8320	-289.123507581	
2.9297	-264.687747606	
3.0273	-230.634104984	
3.1250	-196.642852124	
3.2227	-164.004503871	
3.3203	-131.472149175	
3.4180	-100.083921697	
3.5156	-68.913174199	
3.6133	-45.264935080	
3.7109	-14.816611608	
3.8086	1.051771961	
3.9063	-12.264651113	
4.0039	-42.335553468	
4.1016	-76.670240710	
4.1992	-114.493340486	
4.2969	-152.779082572	
4.3945	-175.525038071	
4.4922	-190.107358015	
4.5898	-224.303270127	
4.6875	-258.381742687	
4.7852	-292.212957511	
4.8828	-324.678646851	
4.9805	-343.360668184	
5.0781	-370.799881717	
5.1758	-398.662681885	
5.2734	-427.675411000	
5.3711	-443.915934783	
5.4687	-456.158087549	
5.5664	-468.947371033	
5.6641	-478.920479255	
5.7617	-483.982395257	
5.8594	-489.873849216	
5.9570	-495.742290061	
6.0547	-498.910929326	
6.1523	-498.457352970	
6.2500	-497.815795814	
6.3477	-499.966092693	
6.4453	-502.413961242	
6.5430	-500.138133885	
6.6406	-498.698191259	
6.7383	-497.692881563	
6.8359	-497.792782700	
6.9336	-498.709818938	
7.0312	-498.101013076	
7.1289	-497.440076455	
7.2266	-498.634190579	
7.3242	-502.092116793	
7.4219	-503.539714306	
7.5195	-500.789574568	
7.6172	-499.443476997	
7.7148	-500.677270574	
7.8125	-501.548958865	
7.9102	-504.779127928	
8.0078	-508.970227714	
8.1055	-509.596475093	
8.2031	-505.193606214	
8.3008	-497.986141303	
8.3984	-495.576934785	
8.4961	-494.782861246	
8.5938	-494.286117135	
8.6914	-492.578011176	
8.7891	-493.389332438	
8.8867	-495.430280691	
8.9844	-492.371377641	
9.0820	-494.278752939	
9.1797	-498.617621138	
9.2773	-500.804884344	
9.3750	-503.290881988	
9.4727	-504.113104198	
9.5703	-500.915928673	
9.6680	-498.567719018	
9.7656	-501.336559940	
9.8633	-507.815889939	
9.9609	-507.184458553	
10.0586	-505.678383507	
10.1562	-507.461827132	
10.2539	-504.455926917	
10.3516	-499.420851473	
10.4492	-493.860108067	
10.5469	-489.390912973	
10.6445	-481.759473837	
10.7422	-473.451303817	
10.8398	-463.800572979	
10.9375	-452.969584334	
11.0352	-439.425034688	
11.1328	-423.848935829	
11.2305	-405.185785250	
11.3281	-390.632534502	
11.4258	-365.933916321	
11.5234	-331.889600066	
11.6211	-302.390543302	
11.7187	-271.454450833	
11.8164	-236.494794044	
11.9141	-202.115358407	
12.0117	-169.976782307	
12.1094	-143.755870892	
12.2070	-114.379861612	
12.3047	-87.035322816	
12.4023	-57.270179955	
12.5000	-33.072575424	
12.5977	0.159801849	
12.6953	2.127089971	
12.7930	-22.039362072	
12.8906	-54.332761921	
12.9883	-88.175477245	
13.0859	-123.097689276	
13.1836	-160.389519214	
13.2812	-180.745817229	
13.3789	-204.754308471	
