x(um)
y(nm)

X	Y
0.0000	-339.810180805	
0.1172	-332.891615253	
0.2344	-326.202890145	
0.3516	-308.609607100	
0.4688	-250.860233561	
0.5859	-191.680425446	
0.7031	-130.649272908	
0.8203	-75.436768106	
0.9375	-28.035380351	
1.0547	20.353300254	
1.1719	69.621154468	
1.2891	121.272749374	
1.4062	170.549845171	
1.5234	192.980242434	
1.6406	190.136233416	
1.7578	158.195025045	
1.8750	113.892904130	
1.9922	58.305503596	
2.1094	7.925480110	
2.2266	-48.629803530	
2.3438	-109.861079314	
2.4609	-160.905897145	
2.5781	-219.082927007	
2.6953	-269.260840852	
2.8125	-329.227733786	
2.9297	-348.991226108	
3.0469	-348.110429469	
3.1641	-351.059717425	
3.2812	-356.460362233	
3.3984	-358.463617429	
3.5156	-360.305926176	
3.6328	-357.447188765	
3.7500	-354.553519871	
3.8672	-353.965450035	
3.9844	-352.819954142	
4.1016	-356.221558788	
4.2187	-358.843454923	
4.3359	-354.836145129	
4.4531	-349.585376251	
4.5703	-350.631988429	
4.6875	-347.563565218	
4.8047	-343.727424540	
4.9219	-342.337069119	
5.0391	-342.223796151	
5.1562	-342.343948828	
5.2734	-342.281571179	
5.3906	-342.865983140	
5.5078	-340.880411706	
5.6250	-340.032511706	
5.7422	-343.097325492	
5.8594	-342.316987149	
5.9766	-347.100299131	
6.0937	-348.311249165	
6.2109	-353.720275591	
6.3281	-354.691235187	
6.4453	-350.132167828	
6.5625	-350.353893121	
6.6797	-353.847162632	
6.7969	-353.770880217	
6.9141	-354.275739479	
7.0312	-353.619332808	
7.1484	-352.930998470	
7.2656	-355.862045506	
7.3828	-359.342403449	
7.5000	-363.157081371	
7.6172	-360.242821796	
7.7344	-352.207950668	
7.8516	-344.275814923	
7.9687	-334.131028875	
8.0859	-324.880217501	
8.2031	-304.264149884	
8.3203	-246.869105619	
8.4375	-186.059775272	
8.5547	-130.163938456	
8.6719	-76.634582497	
8.7891	-26.926802337	
8.9062	23.888459687	
9.0234	75.339410524	
9.1406	126.681133856	
9.2578	176.722519377	
9.3750	183.831379153	
9.4922	183.213670850	
9.6094	162.268176568	
9.7266	121.872131972	
9.8438	69.367598406	
9.9609	12.776662608	
10.0781	-35.688373085	
10.1953	-92.481273178	
10.3125	-150.055153559	
10.4297	-209.265726573	
10.5469	-269.709790360	
10.6641	-313.976798109	
10.7812	-327.435230262	
10.8984	-331.459085273	
11.0156	-338.649399359	
11.1328	-344.082189854	
11.2500	-350.567503263	
11.3672	-352.510609447	
11.4844	-353.199888534	
11.6016	-350.656697246	
11.7187	-349.136305621	
11.8359	-346.294719036	
11.9531	-347.709444134	
12.0703	-348.688809572	
12.1875	-347.098918344	
12.3047	-346.556123781	
12.4219	-346.481270602	
12.5391	-345.449701732	
12.6562	-346.512108174	
12.7734	-349.639687199	
12.8906	-354.002246793	
13.0078	-355.107045812	
13.1250	-352.856193739	
13.2422	-347.773880852	
13.3594	-344.123831477	
13.4766	-342.485976075	
13.5937	-340.870285936	
13.7109	-347.124256993	
13.8281	-348.651237636	
13.9453	-342.763514224	
14.0625	-342.202066927	
14.1797	-344.490103347	
14.2969	-347.078254991	
14.4141	-345.382745684	
14.5312	-348.842004235	
14.6484	-350.659676839	
14.7656	-346.204846772	
14.8828	-351.107463579	
15.0000	-356.738990477	
15.1172	-359.586875387	
15.2344	-359.707197635	
15.3516	-358.551503298	
15.4688	-359.622315582	
15.5859	-350.551200289	
15.7031	-342.470593626	
15.8203	-337.530453331	
15.9375	-328.894019416	
16.0547	-310.903844948	
16.1719	-262.770416109	
16.2891	-205.374548217	
16.4062	-143.667258292	
16.5234	-84.354470717	
16.6406	-29.401965649	
16.7578	21.360790139	
16.8750	71.244233028	
16.9922	125.000837428	
17.1094	170.676259837	
