X Unit:	MicroMeter
Y Unit:	MicroMeter

X	Y
0.0000	2.030609503	
0.1172	1.967183618	
0.2344	1.907852226	
0.3516	1.856190838	
0.4688	1.797976866	
0.5859	1.750192147	
0.7031	1.686801339	
0.8203	1.653980085	
0.9375	1.634184350	
1.0547	1.606855429	
1.1719	1.553546206	
1.2891	1.554125361	
1.4062	1.552343420	
1.5234	1.548376056	
1.6406	1.544761980	
1.7578	1.546098000	
1.8750	1.548231000	
1.9922	1.546765041	
2.1094	1.544938817	
2.2266	1.548222958	
2.3438	1.546756417	
2.4609	1.547047012	
2.5781	1.546068349	
2.6953	1.547293519	
2.8125	1.547905135	
2.9297	1.546809807	
3.0469	1.542734500	
3.1641	1.543065017	
3.2812	1.547430919	
3.3984	1.544489504	
3.5156	1.545104802	
3.6328	1.547749421	
3.7500	1.548596303	
3.8672	1.547012420	
3.9844	1.550028930	
4.1016	1.549867790	
4.2187	1.548025191	
4.3359	1.545347918	
4.4531	1.546397800	
4.5703	1.554302490	
4.6875	1.564977280	
4.8047	1.587691271	
4.9219	1.620284623	
5.0391	1.647657728	
5.1562	1.688380184	
5.2734	1.722444243	
5.3906	1.776777283	
5.5078	1.839318496	
5.6250	1.893890873	
5.7422	1.960989747	
5.8594	1.980443241	
5.9766	2.019292283	
6.0937	2.082284456	
6.2109	2.084549528	
6.3281	2.085417922	
6.4453	2.085797953	
6.5625	2.084000701	
6.6797	2.088621735	
6.7969	2.086511311	
6.9141	2.082774175	
7.0312	2.085235948	
7.1484	2.084050894	
7.2656	2.086027212	
7.3828	2.085480130	
7.5000	2.087344822	
7.6172	2.083735784	
7.7344	2.084288099	
7.8516	2.085070835	
7.9687	2.086267905	
8.0859	2.087052967	
8.2031	2.088364957	
8.3203	2.085772178	
8.4375	2.085325094	
8.5547	2.085505904	
8.6719	2.084915412	
8.7891	2.070232367	
8.9062	1.988373511	
9.0234	1.943059480	
9.1406	1.897522390	
9.2578	1.829782055	
9.3750	1.783640133	
9.4922	1.718637728	
9.6094	1.671024905	
9.7266	1.647397268	
9.8438	1.627597657	
9.9609	1.586309806	
10.0781	1.565279599	
10.1953	1.560161580	
10.3125	1.556989452	
10.4297	1.556872691	
10.5469	1.561827148	
