x(um)
y(nm)

X	Y
0.0000	-26.700444141	
0.0977	-27.714062782	
0.1953	-28.363223350	
0.2930	-28.636049867	
0.3906	-28.980253372	
0.4883	-29.233700425	
0.5859	-29.333056514	
0.6836	-29.369935029	
0.7812	-29.129932479	
0.8789	-28.957043436	
0.9766	-28.904440303	
1.0742	-28.804938868	
1.1719	-28.583464902	
1.2695	-28.091178068	
1.3672	-27.083554948	
1.4648	-25.599669388	
1.5625	-23.579055946	
1.6602	-21.503042975	
1.7578	-19.499677256	
1.8555	-17.439821914	
1.9531	-15.371353307	
2.0508	-12.872698451	
2.1484	-9.955858228	
2.2461	-0.776507871	
2.3438	26.304997093	
2.4414	51.125672589	
2.5391	68.289857963	
2.6367	74.623127365	
2.7344	76.549349191	
2.8320	68.470813708	
2.9297	71.693194649	
3.0273	72.635387853	
3.1250	70.509375865	
3.2227	73.794661335	
3.3203	69.751281513	
3.4180	63.911958312	
3.5156	40.297790714	
3.6133	7.254968823	
3.7109	-0.320281435	
3.8086	-2.232404110	
3.9063	-4.652462371	
4.0039	-8.057506493	
4.1016	-11.824425391	
4.1992	-14.848239499	
4.2969	-17.504205641	
4.3945	-19.396137928	
4.4922	-21.110153109	
4.5898	-22.756378016	
4.6875	-24.388660308	
4.7852	-25.969054085	
4.8828	-27.318991212	
4.9805	-28.108437903	
5.0781	-28.797511082	
5.1758	-29.309189493	
5.2734	-29.370607254	
5.3711	-29.399749123	
5.4687	-29.371188638	
5.5664	-29.070165001	
5.6641	-28.985864332	
5.7617	-28.697834020	
5.8594	-28.346048300	
5.9570	-27.977983829	
6.0547	-27.471489425	
6.1523	-27.195755989	
6.2500	-26.967559772	
6.3477	-26.813747388	
6.4453	-26.605684618	
6.5430	-25.605522592	
6.6406	-23.776051226	
6.7383	-21.647760637	
6.8359	-18.946493484	
6.9336	-15.613201448	
7.0312	-12.513818030	
7.1289	3.008927121	
7.2266	27.622846067	
7.3242	52.549233511	
7.4219	71.274010786	
7.5195	80.343200245	
7.6172	80.519371685	
7.7148	72.917522569	
7.8125	74.703128215	
7.9102	79.432831755	
8.0078	77.357775645	
8.1055	77.237235379	
8.2031	75.199569522	
8.3008	71.059086474	
8.3984	52.826281117	
8.4961	11.800623473	
8.5938	-4.709480009	
8.6914	-7.165051138	
8.7891	-9.739369932	
8.8867	-13.491742120	
8.9844	-17.229023308	
9.0820	-19.772297866	
9.1797	-21.459461892	
9.2773	-22.102095517	
9.3750	-22.418864968	
9.4727	-22.806902399	
9.5703	-23.692881531	
9.6680	-24.661842620	
9.7656	-25.944157529	
9.8633	-26.663459645	
9.9609	-27.508828202	
10.0586	-28.197404783	
10.1562	-28.686590903	
10.2539	-29.102437865	
10.3516	-29.577304378	
10.4492	-29.475864996	
10.5469	-29.396930017	
10.6445	-29.184058717	
10.7422	-29.087258294	
10.8398	-28.896440218	
10.9375	-28.671795894	
11.0352	-27.948299941	
11.1328	-26.884670171	
11.2305	-25.754287231	
11.3281	-24.370486004	
11.4258	-23.108723925	
11.5234	-21.794311777	
11.6211	-20.216288957	
11.7187	-18.366337434	
