x(um)
y(nm)

X	Y
0.0000	20.631652946	
0.0977	14.802738637	
0.1953	10.422863189	
0.2930	7.667349434	
0.3906	6.533485761	
0.4883	5.594591608	
0.5859	2.270085245	
0.6836	-3.659723588	
0.7812	-6.536176932	
0.8789	-9.641513480	
0.9766	-13.608315653	
1.0742	-15.174074906	
1.1719	-15.200935146	
1.2695	-12.348286369	
1.3672	-8.202905464	
1.4648	-11.335337682	
1.5625	-12.387068765	
1.6602	-11.247224710	
1.7578	-10.644155472	
1.8555	-9.056609462	
1.9531	-10.586844492	
2.0508	-13.105866711	
2.1484	-14.969695747	
2.2461	-14.589781038	
2.3438	-13.783966270	
2.4414	-11.742250408	
2.5391	-7.388818844	
2.6367	-7.450562120	
2.7344	-7.110981676	
2.8320	-4.570668542	
2.9297	-4.174535643	
3.0273	-4.862030078	
3.1250	-4.258791270	
3.2227	-1.313168947	
3.3203	2.549610735	
3.4180	9.562316575	
3.5156	17.229176224	
3.6133	21.106284786	
3.7109	18.394907003	
3.8086	14.346614185	
3.9063	15.805129301	
4.0039	70.569645998	
4.1016	105.781132866	
4.1992	90.291660211	
4.2969	20.118858702	
4.3945	5.501708335	
4.4922	2.995511763	
4.5898	3.735157773	
4.6875	6.943711163	
4.7852	14.961834952	
4.8828	12.794512912	
4.9805	6.175219275	
5.0781	-1.648556689	
5.1758	-4.770814120	
5.2734	-3.447337910	
5.3711	-0.388369805	
5.4687	-1.796501485	
5.5664	-3.383360319	
5.6641	-5.488135518	
5.7617	-6.658699052	
5.8594	-8.984072734	
5.9570	-10.396395081	
6.0547	-11.928652842	
6.1523	-11.414983494	
6.2500	-11.867162409	
6.3477	-12.576954961	
6.4453	-12.725567440	
6.5430	-10.782069125	
6.6406	-9.249585017	
6.7383	-11.369076118	
6.8359	-14.888030989	
6.9336	-15.849272086	
7.0312	-14.923839091	
7.1289	-17.075306308	
7.2266	-19.510852242	
7.3242	-20.626487107	
7.4219	-22.520413360	
7.5195	-22.988447098	
7.6172	-21.040588403	
7.7148	-16.521716778	
7.8125	-9.849920691	
7.9102	-8.348128809	
8.0078	-6.239675296	
8.1055	-3.565970889	
8.2031	0.706853838	
8.3008	3.013002297	
8.3984	6.208159443	
8.4961	10.935783854	
8.5938	11.172217857	
8.6914	7.715810206	
8.7891	16.357080661	
8.8867	86.770466104	
8.9844	114.275854451	
9.0820	77.331062265	
9.1797	8.097559152	
9.2773	8.523378210	
9.3750	15.237556277	
9.4727	21.341206283	
9.5703	18.713985336	
9.6680	13.631398411	
9.7656	10.251442746	
9.8633	8.737717353	
9.9609	4.934998302	
10.0586	-0.509633348	
10.1562	-3.661820128	
10.2539	-4.883606007	
10.3516	-5.675204122	
10.4492	-8.482569298	
10.5469	-13.043025771	
10.6445	-16.045057664	
10.7422	-19.621315187	
10.8398	-21.399957853	
10.9375	-22.411839912	
11.0352	-22.779100438	
11.1328	-21.763601383	
11.2305	-21.321163677	
11.3281	-22.331035118	
11.4258	-22.490753696	
11.5234	-19.685862429	
11.6211	-15.998139679	
11.7187	-14.762912324	
11.8164	-17.490300875	
11.9141	-19.818534542	
12.0117	-20.620100968	
