x(um)
y(nm)

X	Y
0.0000	-223.459221796	
0.1172	-223.638142697	
0.2344	-219.349564207	
0.3516	-222.190157595	
0.4688	-218.984358208	
0.5859	-219.010956522	
0.7031	-220.203762533	
0.8203	-216.135189408	
0.9375	-218.634534658	
1.0547	-217.916864657	
1.1719	-220.972909235	
1.2891	-222.453112697	
1.4062	-219.853745188	
1.5234	-223.787413019	
1.6406	-227.146092152	
1.7578	-227.403596781	
1.8750	-228.321626215	
1.9922	-223.291080721	
2.1094	-224.056569550	
2.2266	-222.553764788	
2.3438	-220.565334883	
2.4609	-221.336153064	
2.5781	-218.893710765	
2.6953	-217.655847501	
2.8125	-217.399578314	
2.9297	-217.328940167	
3.0469	-218.779081235	
3.1641	-216.284314384	
3.2812	-216.072303047	
3.3984	-214.652393943	
3.5156	-209.548860542	
3.6328	-201.106681529	
3.7500	-137.329156136	
3.8672	-75.239485162	
3.9844	-16.238537388	
4.1016	36.313070108	
4.2187	84.752524908	
4.3359	158.033303418	
4.4531	225.628437876	
4.5703	274.851016818	
4.6875	311.656688677	
4.8047	356.298785952	
4.9219	393.457503196	
5.0391	427.071643798	
5.1562	459.245236167	
5.2734	464.422847569	
5.3906	468.865880387	
5.5078	469.086321790	
5.6250	473.874018376	
5.7422	471.789563226	
5.8594	472.875491493	
5.9766	472.723944084	
6.0937	473.639429964	
6.2109	472.656115960	
6.3281	472.912990756	
6.4453	471.245969261	
6.5625	468.634295792	
6.6797	451.833850845	
6.7969	415.552393489	
6.9141	364.886553188	
7.0312	292.305664022	
7.1484	253.060020746	
7.2656	226.413790656	
7.3828	162.449883268	
7.5000	90.598945838	
7.6172	32.476832532	
7.7344	-27.227335431	
7.8516	-94.676288170	
7.9687	-167.223045255	
8.0859	-217.276567166	
8.2031	-221.740214889	
8.3203	-221.051953224	
8.4375	-221.393346707	
8.5547	-219.655129906	
8.6719	-219.438104134	
8.7891	-219.621724555	
8.9062	-213.654181976	
9.0234	-216.699374054	
9.1406	-216.791426508	
9.2578	-220.087098159	
9.3750	-222.768755717	
9.4922	-221.517326828	
9.6094	-223.661688746	
9.7266	-223.207603680	
9.8438	-222.230539553	
9.9609	-223.904731449	
10.0781	-223.147769585	
10.1953	-224.633496194	
10.3125	-221.459842493	
10.4297	-218.365644595	
10.5469	-222.381166437	
10.6641	-222.047427842	
10.7812	-221.734037685	
10.8984	-222.877571408	
11.0156	-218.139631596	
11.1328	-214.971525267	
11.2500	-219.327423170	
11.3672	-219.173719796	
11.4844	-219.379771947	
11.6016	-215.742149653	
11.7187	-217.041276248	
11.8359	-217.651123757	
11.9531	-217.277390793	
12.0703	-219.470637409	
12.1875	-215.661216167	
12.3047	-210.426992506	
12.4219	-176.054194336	
12.5391	-110.302349709	
12.6562	-47.012157276	
12.7734	5.294736037	
12.8906	59.241931410	
13.0078	109.393852548	
13.1250	179.781252856	
13.2422	244.468959001	
13.3594	287.366662271	
13.4766	327.769744035	
13.5937	381.028193256	
13.7109	405.405911737	
13.8281	439.733604204	
13.9453	469.363448126	
14.0625	473.997174870	
14.1797	475.914579040	
14.2969	474.387477275	
14.4141	479.062191586	
14.5312	477.838959817	
14.6484	481.275617069	
14.7656	480.822428303	
14.8828	479.657238029	
15.0000	481.652160055	
15.1172	480.990448256	
15.2344	483.832931141	
15.3516	477.793514974	
15.4688	451.156829270	
15.5859	404.273085167	
15.7031	337.575268342	
15.8203	278.639508239	
15.9375	252.977415781	
16.0547	195.991714245	
16.1719	130.218346301	
16.2891	80.065553087	
16.4062	26.197692395	
16.5234	-35.853146978	
16.6406	-103.199982053	
16.7578	-174.541312253	
