x(um)
y(nm)

X	Y
0.0000	-71.824211938	
0.0977	-66.524170772	
0.1953	-62.993789588	
0.2930	-61.101033673	
0.3906	-58.548491794	
0.4883	-52.149598682	
0.5859	-44.645930775	
0.6836	-35.154317449	
0.7812	-24.972892101	
0.8789	-11.936617348	
0.9766	-3.782308161	
1.0742	5.270784231	
1.1719	14.007216181	
1.2695	27.510808541	
1.3672	41.246306468	
1.4648	57.762612136	
1.5625	73.177837219	
1.6602	87.827694595	
1.7578	97.570974486	
1.8555	101.816130864	
1.9531	106.049356760	
2.0508	105.241620700	
2.1484	105.080710588	
2.2461	102.340066786	
2.3438	104.802469933	
2.4414	104.296472128	
2.5391	105.027937885	
2.6367	104.534258151	
2.7344	103.015731799	
2.8320	97.966533571	
2.9297	85.645893975	
3.0273	72.578018583	
3.1250	63.130130173	
3.2227	52.549463642	
3.3203	38.806371387	
3.4180	25.356114946	
3.5156	14.117406602	
3.6133	4.871839796	
3.7109	-2.871261389	
3.8086	-8.826570682	
3.9063	-14.779651336	
4.0039	-23.203444083	
4.1016	-34.368752707	
4.1992	-43.896327051	
4.2969	-50.815667781	
4.3945	-56.767985370	
4.4922	-66.017985228	
4.5898	-70.628638298	
4.6875	-76.589107373	
4.7852	-83.166400564	
4.8828	-86.599351493	
4.9805	-88.018558092	
5.0781	-88.198375293	
5.1758	-87.829759719	
5.2734	-85.472054127	
5.3711	-83.872606401	
5.4687	-84.424654658	
5.5664	-84.395694471	
5.6641	-82.870833457	
5.7617	-78.577773466	
5.8594	-75.223164020	
5.9570	-70.870560626	
6.0547	-68.019647674	
6.1523	-65.611337456	
6.2500	-60.605961041	
6.3477	-51.369272452	
6.4453	-45.061768652	
6.5430	-34.470431304	
6.6406	-20.395541429	
6.7383	-9.266690422	
6.8359	0.971262400	
6.9336	13.331375542	
7.0312	22.574495690	
7.1289	36.030820326	
7.2266	46.175691160	
7.3242	56.431242958	
7.4219	67.656276668	
7.5195	78.633713500	
7.6172	91.832267040	
7.7148	100.210602831	
7.8125	102.615146166	
7.9102	101.532245941	
8.0078	107.540994106	
8.1055	101.689062141	
8.2031	103.429398571	
8.3008	103.184696501	
8.3984	103.328903938	
8.4961	103.806002118	
8.5938	100.604769017	
8.6914	90.005582986	
8.7891	79.437064957	
8.8867	67.705803310	
8.9844	60.774156620	
9.0820	47.681196935	
9.1797	31.000807767	
9.2773	17.194980554	
9.3750	4.637754039	
9.4727	-6.515333410	
9.5703	-11.940335783	
9.6680	-16.716901289	
9.7656	-18.698851186	
9.8633	-23.636024000	
9.9609	-33.870418874	
10.0586	-42.759028065	
10.1562	-52.300903848	
10.2539	-60.418937101	
10.3516	-63.729282640	
10.4492	-68.427942700	
10.5469	-76.405159923	
10.6445	-81.199760443	
10.7422	-83.891580107	
10.8398	-85.421770474	
10.9375	-86.206917346	
11.0352	-86.266133721	
11.1328	-84.049704421	
11.2305	-83.439917474	
11.3281	-84.455231818	
11.4258	-84.012713869	
11.5234	-84.127670428	
11.6211	-83.149782673	
11.7187	-79.653230765	
11.8164	-72.295441774	
11.9141	-66.747198123	
12.0117	-64.213720791	
12.1094	-60.265185278	
12.2070	-50.431921085	
12.3047	-44.114797199	
12.4023	-35.906722112	
12.5000	-23.014851618	
12.5977	-9.757735760	
12.6953	4.379728588	
12.7930	13.064756509	
12.8906	22.327655824	
12.9883	38.253693298	
13.0859	52.920871070	
13.1836	64.243540942	
13.2812	75.203766388	
13.3789	88.675110108	
13.4766	100.203953253	
13.5742	104.292220758	
13.6719	107.090712259	
13.7695	107.112393035	
13.8672	108.799181583	
13.9648	105.632116900	
14.0625	108.862310187	
14.1602	106.543799560	
14.2578	105.247482988	
14.3555	105.582553921	
14.4531	104.613386925	
14.5508	95.657797462	
14.6484	84.681632407	
14.7461	74.011953575	
14.8437	62.625379920	
14.9414	44.855840651	
15.0391	26.456965400	
15.1367	14.040754766	
15.2344	4.639231723	
15.3320	-2.182363836	
15.4297	-9.353655767	
15.5273	-13.973211278	
15.6250	-17.663678947	
15.7227	-28.104268290	
15.8203	-39.982895620	
15.9180	-48.498223025	
16.0156	-55.131801447	
16.1133	-61.832069449	
16.2109	-65.199517790	
16.3086	-66.881461472	
16.4062	-69.807360837	
16.5039	-74.288571199	
16.6016	-79.540805650	
16.6992	-82.712836320	
16.7969	-84.170111454	
16.8945	-85.035889009	
16.9922	-85.716665355	
17.0898	-86.320868595	
17.1875	-86.507886479	
17.2852	-86.393559753	
17.3828	-83.544209271	
17.4805	-78.999519052	
17.5781	-69.533244375	
17.6758	-65.194569970	
17.7734	-62.013212933	
17.8711	-57.822900437	
17.9688	-53.693233552	
18.0664	-47.520474561	
18.1641	-39.355094855	
18.2617	-28.093833660	
18.3594	-14.296503130	
18.4570	-1.590575565	
18.5547	10.899585892	
18.6523	22.994182208	
18.7500	33.778890271	
18.8477	44.395021221	
18.9453	59.745954932	
19.0430	69.479109053	
19.1406	79.526186267	
19.2383	94.155792103	
19.3359	108.036745020	
19.4336	108.931301079	
19.5312	112.318140996	
19.6289	113.430461670	
19.7266	109.481362941	
19.8242	109.253048630	
19.9219	108.683619416	
20.0195	106.818031088	
20.1172	105.919272108	
20.2148	106.766845079	
20.3125	105.770510497	
20.4102	95.437949555	
20.5078	81.659199086	
20.6055	68.858324260	
20.7031	59.746948130	
20.8008	47.122535436	
20.8984	28.746661186	
20.9961	17.929783213	
21.0938	10.373760472	
21.1914	2.104967101	
21.2891	-4.049248165	
21.3867	-9.727782376	
21.4844	-20.984598406	
21.5820	-35.152912438	
21.6797	-44.024346579	
21.7773	-49.786890766	
21.8750	-56.825245630	
21.9727	-61.446315161	
22.0703	-65.626659345	
22.1680	-73.298589448	
22.2656	-77.944186114	
22.3633	-81.569411607	
22.4609	-83.768847539	
22.5586	-84.878527761	
22.6562	-84.765957299	
22.7539	-84.713923438	
22.8516	-84.423606955	
22.9492	-84.734925933	
23.0469	-84.037131994	
23.1445	-82.846542510	
23.2422	-81.425010376	
23.3398	-76.787371402	
23.4375	-69.926944242	
23.5352	-64.843214231	
23.6328	-62.348241473	
23.7305	-60.034454591	
23.8281	-55.237988797	
23.9258	-47.392627631	
24.0234	-39.330455683	
24.1211	-29.078961461	
24.2188	-14.350705069	
24.3164	2.194136860	
24.4141	12.632594462	
24.5117	24.754800458	
24.6094	34.708123458	
24.7070	48.796945351	
24.8047	60.532107115	
24.9023	71.431795960	
