x(um)
y(nm)

X	Y
0.0000	-339.951263303	
0.0977	-342.728267824	
0.1953	-343.303571438	
0.2930	-346.334253143	
0.3906	-350.017029588	
0.4883	-350.660233998	
0.5859	-353.939069740	
0.6836	-352.663997905	
0.7812	-353.348747042	
0.8789	-347.543895062	
0.9766	-346.141379027	
1.0742	-347.163088595	
1.1719	-348.518028046	
1.2695	-348.743338539	
1.3672	-346.989666616	
1.4648	-343.620038085	
1.5625	-343.036449751	
1.6602	-343.912013935	
1.7578	-343.539274169	
1.8555	-338.025865104	
1.9531	-336.247193672	
2.0508	-339.668734942	
2.1484	-338.869428949	
2.2461	-341.612398286	
2.3438	-343.544046362	
2.4414	-347.237747980	
2.5391	-347.227234620	
2.6367	-345.561739258	
2.7344	-342.471998637	
2.8320	-342.720637160	
2.9297	-340.035927337	
3.0273	-340.273131976	
3.1250	-343.281139708	
3.2227	-347.933785654	
3.3203	-350.552920216	
3.4180	-357.155188691	
3.5156	-359.684572110	
3.6133	-358.478345821	
3.7109	-352.197921795	
3.8086	-349.192748310	
3.9063	-353.592128885	
4.0039	-354.253864909	
4.1016	-354.067797830	
4.1992	-354.633484384	
4.2969	-350.200843804	
4.3945	-343.234750116	
4.4922	-336.308893041	
4.5898	-327.855595061	
4.6875	-318.179743592	
4.7852	-307.932076814	
4.8828	-300.013652040	
4.9805	-289.727056764	
5.0781	-270.632325520	
5.1758	-232.080079467	
5.2734	-196.472797327	
5.3711	-161.335818442	
5.4687	-121.729511229	
5.5664	-84.656233196	
5.6641	-49.100367197	
5.7617	-14.525683460	
5.8594	24.992120163	
5.9570	66.545276220	
6.0547	103.240460909	
6.1523	107.397331717	
6.2500	85.615250198	
6.3477	49.790954397	
6.4453	11.060611070	
6.5430	-25.370528422	
6.6406	-60.099884506	
6.7383	-93.058320943	
6.8359	-130.163756774	
6.9336	-167.089448075	
7.0312	-201.408662027	
7.1289	-233.617743040	
7.2266	-263.132545618	
7.3242	-289.819545256	
7.4219	-306.353692143	
7.5195	-316.001491837	
7.6172	-326.114447116	
7.7148	-333.813205665	
7.8125	-340.825931187	
7.9102	-344.433684882	
8.0078	-346.356709097	
8.1055	-344.807417846	
8.2031	-346.633811208	
8.3008	-345.214822628	
8.3984	-342.567297151	
8.4961	-339.857636268	
8.5938	-340.391467829	
8.6914	-341.890275576	
8.7891	-345.002205683	
8.8867	-340.665759917	
8.9844	-341.470177244	
9.0820	-341.525093801	
9.1797	-340.161796956	
9.2773	-341.878332981	
9.3750	-348.781952121	
9.4727	-348.940306567	
9.5703	-347.435878775	
9.6680	-345.943151335	
9.7656	-345.741508011	
9.8633	-346.004051300	
9.9609	-350.196943687	
10.0586	-349.135700013	
10.1562	-346.925811282	
10.2539	-342.598958351	
10.3516	-341.905488455	
10.4492	-345.130425062	
10.5469	-346.565111008	
10.6445	-341.987778504	
10.7422	-339.914248527	
10.8398	-338.134075187	
10.9375	-337.451869605	
11.0352	-340.111919060	
11.1328	-339.900925146	
11.2305	-340.086313943	
11.3281	-345.941649426	
11.4258	-352.014059130	
11.5234	-357.345228560	
11.6211	-356.970720418	
11.7187	-354.020100124	
11.8164	-354.100113086	
11.9141	-352.057638700	
12.0117	-348.206115572	
12.1094	-345.769317542	
12.2070	-339.968801718	
12.3047	-337.118712394	
12.4023	-331.195088525	
12.5000	-327.404489587	
12.5977	-324.183017059	
12.6953	-309.979226496	
12.7930	-300.454801314	
12.8906	-290.810514148	
12.9883	-255.530345249	
13.0859	-212.601877080	
13.1836	-175.106901910	
13.2812	-139.583859878	
13.3789	-102.957605519	
13.4766	-67.967002149	
13.5742	-34.412622969	
13.6719	4.234073747	
13.7695	40.568025227	
13.8672	80.584171768	
13.9648	103.003377391	
14.0625	93.151148576	
14.1602	64.647881346	
14.2578	33.339485149	
14.3555	0.234467290	
14.4531	-35.368127442	
14.5508	-71.657530379	
14.6484	-109.848567447	
14.7461	-147.063024875	
14.8437	-183.395123194	
14.9414	-217.170028562	
15.0391	-248.304348724	
15.1367	-276.636592184	
15.2344	-298.915490488	
15.3320	-312.026618421	
15.4297	-324.226717750	
15.5273	-329.368331797	
15.6250	-333.349237072	
15.7227	-339.944698510	
15.8203	-341.572040552	
15.9180	-339.986558152	
16.0156	-341.848827747	
16.1133	-342.003718113	
16.2109	-343.262123609	
16.3086	-346.428437338	
16.4062	-345.428747687	
16.5039	-345.574457032	
16.6016	-346.792214102	
16.6992	-349.476657458	
16.7969	-348.445839542	
16.8945	-349.650370128	
16.9922	-351.063641766	
17.0898	-350.381072819	
17.1875	-348.065275318	
17.2852	-346.310343729	
17.3828	-346.586307297	
17.4805	-342.699416647	
17.5781	-342.499396354	
17.6758	-341.984847360	
17.7734	-344.784719649	
17.8711	-344.921296421	
17.9688	-346.613559668	
18.0664	-346.177158363	
18.1641	-343.214886166	
18.2617	-340.512032319	
18.3594	-340.829274145	
18.4570	-345.353894507	
18.5547	-344.190714852	
18.6523	-342.588444991	
18.7500	-343.784545511	
18.8477	-348.379925140	
18.9453	-350.975029167	
19.0430	-351.918155008	
19.1406	-349.865821320	
19.2383	-348.002655424	
19.3359	-349.959981290	
19.4336	-351.521505828	
19.5312	-352.078907662	
19.6289	-353.011399022	
19.7266	-355.188609131	
19.8242	-357.135082497	
19.9219	-354.661221242	
20.0195	-350.747562708	
20.1172	-345.477971525	
20.2148	-337.306596297	
20.3125	-329.054069564	
20.4102	-321.728922857	
20.5078	-309.714139652	
20.6055	-296.915796268	
20.7031	-283.812129429	
20.8008	-264.374623916	
20.8984	-223.933146588	
20.9961	-184.217054711	
21.0938	-148.239358341	
21.1914	-114.822452234	
21.2891	-81.370759988	
21.3867	-43.679131708	
21.4844	-6.438269761	
21.5820	32.091932152	
21.6797	69.917593651	
21.7773	100.400037092	
21.8750	100.936509105	
21.9727	75.876342799	
22.0703	43.749551835	
22.1680	11.176694059	
22.2656	-24.290268649	
22.3633	-62.167697541	
22.4609	-101.647699098	
22.5586	-139.120424220	
22.6562	-175.750239555	
22.7539	-210.367860916	
22.8516	-242.449861093	
22.9492	-271.317534919	
23.0469	-295.085914603	
23.1445	-305.192305088	
23.2422	-318.005497987	
23.3398	-329.626102893	
23.4375	-337.441671162	
23.5352	-341.238447303	
23.6328	-340.062961689	
23.7305	-342.946722832	
23.8281	-347.387745031	
23.9258	-349.748769357	
24.0234	-349.277872606	
24.1211	-347.048362168	
24.2188	-346.211823379	
24.3164	-346.552223664	
24.4141	-348.109339374	
24.5117	-348.144537325	
24.6094	-345.498901346	
24.7070	-349.522950152	
24.8047	-350.351834053	
24.9023	-346.890492209	
