x(um)
y(nm)

X	Y
0.0000	-774.610257957	
0.1172	-772.306475723	
0.2344	-769.588748138	
0.3516	-766.781584326	
0.4688	-768.145656350	
0.5859	-771.323694654	
0.7031	-768.670839825	
0.8203	-765.358017348	
0.9375	-762.816255296	
1.0547	-762.746150085	
1.1719	-764.959187978	
1.2891	-763.921950616	
1.4062	-763.992879454	
1.5234	-761.266188866	
1.6406	-763.505098344	
1.7578	-765.813386304	
1.8750	-764.756672579	
1.9922	-764.764182122	
2.1094	-765.603942746	
2.2266	-764.686761163	
2.3438	-767.230267367	
2.4609	-766.232418764	
2.5781	-763.917154198	
2.6953	-764.977792264	
2.8125	-768.880622523	
2.9297	-770.412084667	
3.0469	-770.713822921	
3.1641	-770.117371468	
3.2812	-764.546986779	
3.3984	-762.603420332	
3.5156	-762.043208476	
3.6328	-759.636133699	
3.7500	-760.525021265	
3.8672	-762.805063655	
3.9844	-763.106898808	
4.1016	-768.099823917	
4.2187	-771.912200528	
4.3359	-773.495405841	
4.4531	-765.185830810	
4.5703	-737.779441244	
4.6875	-684.680581909	
4.8047	-631.096945282	
4.9219	-569.633085650	
5.0391	-492.083834844	
5.1562	-433.102193860	
5.2734	-369.579726438	
5.3906	-279.594576675	
5.5078	-263.130825691	
5.6250	-263.006143064	
5.7422	-263.124139776	
5.8594	-264.700828744	
5.9766	-264.318932181	
6.0937	-264.586586804	
6.2109	-264.349236818	
6.3281	-264.619216976	
6.4453	-266.196390431	
6.5625	-265.482935463	
6.6797	-265.187543983	
6.7969	-263.628877916	
6.9141	-263.065080859	
7.0312	-258.415244935	
7.1484	-265.642234657	
7.2656	-267.429505726	
7.3828	-267.098722500	
7.5000	-265.857152913	
7.6172	-265.588771561	
7.7344	-277.608036267	
7.8516	-359.777375519	
7.9687	-429.041324073	
8.0859	-500.266958872	
8.2031	-565.197707720	
8.3203	-637.234809126	
8.4375	-713.759903707	
8.5547	-747.926770847	
8.6719	-769.688697723	
8.7891	-779.735544806	
8.9062	-777.588590885	
9.0234	-775.541344306	
9.1406	-772.272949250	
9.2578	-770.518284129	
9.3750	-769.465882336	
9.4922	-767.153233997	
9.6094	-764.106927600	
9.7266	-767.114378172	
9.8438	-771.556296671	
9.9609	-770.488633550	
10.0781	-764.781478293	
10.1953	-766.255867916	
10.3125	-768.777475325	
10.4297	-767.008760093	
10.5469	-766.738174327	
10.6641	-766.740306068	
10.7812	-767.855448876	
10.8984	-769.445921488	
11.0156	-766.994613084	
11.1328	-765.030891995	
11.2500	-763.967637702	
11.3672	-764.183767174	
11.4844	-764.668350672	
11.6016	-768.066297445	
11.7187	-768.673552950	
11.8359	-770.670267576	
11.9531	-769.410602415	
12.0703	-771.769567672	
12.1875	-766.480524353	
12.3047	-763.580823600	
12.4219	-766.424081664	
12.5391	-768.717835025	
12.6562	-771.061926544	
12.7734	-770.668232732	
12.8906	-773.755623594	
13.0078	-777.384331334	
13.1250	-778.218132773	
13.2422	-774.891841569	
13.3594	-757.052124416	
13.4766	-710.500520102	
13.5937	-658.612005193	
13.7109	-601.310999777	
13.8281	-541.891237561	
13.9453	-466.378526181	
14.0625	-403.153606204	
14.1797	-325.343459364	
14.2969	-270.910517726	
14.4141	-269.815481112	
14.5312	-271.050049867	
14.6484	-270.399602382	
14.7656	-272.625769862	
14.8828	-266.262207936	
15.0000	-258.249768537	
15.1172	-268.258292729	
15.2344	-273.213694352	
15.3516	-270.544148959	
15.4688	-270.925633708	
15.5859	-268.838562331	
15.7031	-271.215380920	
15.8203	-261.292659304	
15.9375	-274.394581992	
16.0547	-271.130111278	
16.1719	-272.286823037	
16.2891	-272.447163877	
16.4062	-273.980152154	
16.5234	-273.872281212	
16.6406	-318.573728096	
16.7578	-406.030826778	
16.8750	-470.566912842	
16.9922	-542.356296249	
17.1094	-620.912504005	
17.2266	-682.607560643	
17.3438	-752.465489769	
17.4609	-766.080338421	
17.5781	-781.636815572	
17.6953	-784.764128129	
17.8125	-783.309166420	
17.9297	-779.661369907	
18.0469	-774.708414942	
18.1641	-772.646682214	
18.2812	-771.532508379	
18.3984	-773.095704395	
18.5156	-773.304227428	
18.6328	-775.075558888	
18.7500	-774.836367853	
18.8672	-774.154840553	
18.9844	-775.239848294	
19.1016	-771.212941017	
19.2188	-770.158504380	
19.3359	-773.709306675	
19.4531	-776.135664019	
19.5703	-778.795156314	
19.6875	-778.096526637	
19.8047	-775.666341849	
19.9219	-774.872510554	
20.0391	-776.107660693	
20.1562	-773.083882922	
20.2734	-776.465066458	
20.3906	-776.645053230	
20.5078	-774.156536256	
20.6250	-773.134027285	
20.7422	-774.947024593	
20.8594	-775.381463728	
20.9766	-774.604589464	
21.0938	-774.618784921	
21.2109	-775.853256779	
21.3281	-774.469078562	
21.4453	-773.278840330	
21.5625	-772.476724315	
21.6797	-775.347695012	
21.7969	-778.487071285	
