% Model:              1D_grating.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 05:09
% Table:              Table 4 - Global Evaluation 1
% lambda0 (µm)                                    Reflectance, order 0 (1)                          Reflectance, order 0 (1)                          Reflectance, order 0 (1)                          Reflectance, order 0 (1)                          Reflectance, order 0 (1)                          Reflectance, order 0 (1)
9.9010                                            0.0041694                                         0.0038774                                         0.0038513                                         0.0039284                                         0.0035445                                         0.0027932
9.9060                                            0.0037705                                         0.0037100                                         0.0037934                                         0.0036790                                         0.0031043                                         0.0025714
9.9110                                            0.0035844                                         0.0036409                                         0.0036298                                         0.0032822                                         0.0027334                                         0.0024624
9.9160                                            0.0035027                                         0.0035105                                         0.0033056                                         0.0028544                                         0.0025041                                         0.0023672
9.9210                                            0.0033698                                         0.0032311                                         0.0028873                                         0.0025172                                         0.0023828                                         0.0021997
9.9260                                            0.0030968                                         0.0028360                                         0.0024996                                         0.0023146                                         0.0022728                                         0.0019466
9.9310                                            0.0027120                                         0.0024382                                         0.0022298                                         0.0021950                                         0.0020944                                         0.0016647
9.9360                                            0.0023204                                         0.0021362                                         0.0020718                                         0.0020641                                         0.0018379                                         0.0014251
9.9410                                            0.0020204                                         0.0019510                                         0.0019501                                         0.0018631                                         0.0015604                                         0.0012608
9.9460                                            0.0018304                                         0.0018220                                         0.0017851                                         0.0016017                                         0.0013266                                         0.0011471
9.9510                                            0.0016974                                         0.0016715                                         0.0015562                                         0.0013421                                         0.0011644                                         0.0010368
9.9560                                            0.0015455                                         0.0014617                                         0.0012999                                         0.0011350                                         0.0010468                                         8.9879E-4
9.9610                                            0.0013430                                         0.0012200                                         0.0010765                                         9.9156E-4                                         9.3164E-4                                         7.4258E-4
9.9660                                            0.0011101                                         9.9603E-4                                         9.1143E-4                                         8.7816E-4                                         7.9353E-4                                         5.9574E-4
9.9710                                            8.9914E-4                                         8.2735E-4                                         7.9301E-4                                         7.6093E-4                                         6.4522E-4                                         4.8280E-4
9.9760                                            7.3768E-4                                         7.0576E-4                                         6.8512E-4                                         6.2732E-4                                         5.1112E-4                                         4.0145E-4
9.9810                                            6.2333E-4                                         6.0486E-4                                         5.6963E-4                                         4.9614E-4                                         4.1083E-4                                         3.3837E-4
9.9860                                            5.2823E-4                                         5.0129E-4                                         4.5054E-4                                         3.8752E-4                                         3.4016E-4                                         2.8075E-4
9.9910                                            4.3548E-4                                         3.9777E-4                                         3.4882E-4                                         3.1188E-4                                         2.8772E-4                                         2.2983E-4
9.9960                                            3.4566E-4                                         3.0867E-4                                         2.7638E-4                                         2.6239E-4                                         2.4472E-4                                         1.9282E-4
10.001                                            2.7367E-4                                         2.4825E-4                                         2.3424E-4                                         2.3048E-4                                         2.1302E-4                                         1.7711E-4
10.006                                            2.3015E-4                                         2.1864E-4                                         2.1532E-4                                         2.1207E-4                                         1.9854E-4                                         1.8534E-4
10.011                                            2.1852E-4                                         2.1614E-4                                         2.1468E-4                                         2.0945E-4                                         2.0746E-4                                         2.1694E-4
10.016                                            2.3633E-4                                         2.3610E-4                                         2.3120E-4                                         2.2783E-4                                         2.4421E-4                                         2.6900E-4
10.021                                            2.7932E-4                                         2.7530E-4                                         2.6738E-4                                         2.7398E-4                                         3.0938E-4                                         3.3644E-4
10.026                                            3.4321E-4                                         3.3437E-4                                         3.3085E-4                                         3.5421E-4                                         3.9821E-4                                         4.1911E-4
10.031                                            4.2720E-4                                         4.2074E-4                                         4.3142E-4                                         4.6693E-4                                         5.0259E-4                                         5.2598E-4
10.036                                            5.4132E-4                                         5.4816E-4                                         5.7272E-4                                         6.0182E-4                                         6.2385E-4                                         6.7122E-4
10.041                                            7.0242E-4                                         7.2318E-4                                         7.4367E-4                                         7.5041E-4                                         7.7798E-4                                         8.5660E-4
10.046                                            9.1721E-4                                         9.3377E-4                                         9.2886E-4                                         9.2329E-4                                         9.8279E-4                                         0.0010648
10.051                                            0.0011692                                         0.0011594                                         0.0011324                                         0.0011472                                         0.0012342                                         0.0012790
10.056                                            0.0014329                                         0.0013995                                         0.0013837                                         0.0014345                                         0.0015041                                         0.0015097
10.061                                            0.0017134                                         0.0016898                                         0.0017110                                         0.0017633                                         0.0017772                                         0.0017948
10.066                                            0.0020523                                         0.0020645                                         0.0020975                                         0.0020959                                         0.0020793                                         0.0021510
10.071                                            0.0024908                                         0.0025147                                         0.0024994                                         0.0024389                                         0.0024605                                         0.0025497
10.076                                            0.0030046                                         0.0029817                                         0.0028972                                         0.0028443                                         0.0029241                                         0.0029424
10.081                                            0.0035334                                         0.0034435                                         0.0033480                                         0.0033597                                         0.0034207                                         0.0033425
10.086                                            0.0040505                                         0.0039504                                         0.0039140                                         0.0039457                                         0.0039011                                         0.0038124
10.091                                            0.0046352                                         0.0045917                                         0.0045912                                         0.0045345                                         0.0044120                                         0.0043962
10.096                                            0.0053670                                         0.0053556                                         0.0052831                                         0.0051131                                         0.0050323                                         0.0050325
10.101                                            0.0062361                                         0.0061545                                         0.0059598                                         0.0057847                                         0.0057827                                         0.0056576
10.106                                            0.0071139                                         0.0069205                                         0.0066967                                         0.0066096                                         0.0065599                                         0.0062875
10.111                                            0.0079743                                         0.0077594                                         0.0076173                                         0.0075392                                         0.0073195                                         0.0070400
10.116                                            0.0089213                                         0.0087831                                         0.0086717                                         0.0084447                                         0.0081294                                         0.0079267
10.121                                            0.010103                                          0.0099859                                         0.0097445                                         0.0093694                                         0.0091224                                         0.0088640
10.126                                            0.011433                                          0.011190                                          0.010792                                          0.010441                                          0.010241                                          0.0097672
10.131                                            0.012773                                          0.012391                                          0.011998                                          0.011733                                          0.011376                                          0.010758
10.136                                            0.014103                                          0.013734                                          0.013431                                          0.013074                                          0.012502                                          0.011920
10.141                                            0.015664                                          0.015370                                          0.015001                                          0.014415                                          0.013811                                          0.013216
10.146                                            0.017491                                          0.017118                                          0.016534                                          0.015858                                          0.015317                                          0.014490
10.151                                            0.019454                                          0.018881                                          0.018191                                          0.017590                                          0.016917                                          0.015842
10.156                                            0.021386                                          0.020736                                          0.020111                                          0.019454                                          0.018501                                          0.017381
10.161                                            0.023546                                          0.022952                                          0.022283                                          0.021361                                          0.020287                                          0.019113
10.166                                            0.026038                                          0.025371                                          0.024456                                          0.023369                                          0.022308                                          0.020847
10.171                                            0.028787                                          0.027884                                          0.026797                                          0.025727                                          0.024485                                          0.022714
10.176                                            0.031551                                          0.030518                                          0.029440                                          0.028255                                          0.026685                                          0.024791
10.181                                            0.034640                                          0.033603                                          0.032414                                          0.030910                                          0.029176                                          0.027094
10.186                                            0.038111                                          0.036927                                          0.035443                                          0.033745                                          0.031913                                          0.029430
10.191                                            0.041930                                          0.040468                                          0.038799                                          0.037019                                          0.034858                                          0.032027
10.196                                            0.045874                                          0.044266                                          0.042516                                          0.040462                                          0.037928                                          0.034853
10.201                                            0.050367                                          0.048647                                          0.046628                                          0.044201                                          0.041437                                          0.037929
10.206                                            0.055277                                          0.053271                                          0.050919                                          0.048272                                          0.045169                                          0.041138
10.211                                            0.060671                                          0.058375                                          0.055814                                          0.052868                                          0.049254                                          0.044776
10.216                                            0.066441                                          0.063948                                          0.061099                                          0.057691                                          0.053651                                          0.048612
10.221                                            0.073060                                          0.070246                                          0.066965                                          0.063152                                          0.058622                                          0.052856
10.226                                            0.080132                                          0.076942                                          0.073302                                          0.069054                                          0.063870                                          0.057400
10.231                                            0.088130                                          0.084608                                          0.080540                                          0.075687                                          0.069835                                          0.062507
10.236                                            0.096843                                          0.092904                                          0.088294                                          0.082845                                          0.076245                                          0.067915
10.241                                            0.10679                                           0.10236                                           0.097200                                          0.091055                                          0.083524                                          0.074081
10.246                                            0.11759                                           0.11268                                           0.10688                                           0.099911                                          0.091390                                          0.080650
10.251                                            0.13010                                           0.12461                                           0.11805                                           0.11016                                           0.10044                                           0.088171
